id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUQ4eTQ3QXpnRRAB,,2 days ago,2020-08-01 14:33:19.935576,5.0,Praveen Hp,1,0,https://www.google.com/maps/contrib/100490001239862562454?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4cmFQNTdRRRAB,"Whether you are into indoor or outdoor sports, this college offers everything there is to promote extracurricular activities. This does not only help us be fit but also take a break from our regular academic schedules.",6 days ago,2020-08-01 14:33:19.936463,5.0,Prabir Sen,1,0,https://www.google.com/maps/contrib/110502967336633187736?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQ4bGFibk1nEAE,,a week ago,2020-08-01 14:33:19.937332,5.0,Mudiyanur Raghvendra,2,0,https://www.google.com/maps/contrib/116899918791423720168?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNNNWVqbjd3RRAB,"The worst educational institution I have ever come across. There is no academic ambiance. Faculty members are mediocre. They choose school heads who lack scholarship, vision and mission.They conduct quizzes to make the ineligible students eligible for writing their final semester exam, an injustice to the genuine students who attend the classes regularly and study sincerely. The latest news on the murder of the Ex-Vice Chancellor of this university can provide sufficient proof on how low this educational institution is.",2 weeks ago,2020-08-01 14:33:19.938266,1.0,Ullas Gurudas,2,0,https://www.google.com/maps/contrib/111875766938893008798?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4cThLNm5nRRAB,,2 weeks ago,2020-08-01 14:33:19.939185,5.0,Vinay kumar,0,0,https://www.google.com/maps/contrib/114663716718600223839?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4cmJmYUhREAE,,2 weeks ago,2020-08-01 14:33:19.940061,4.0,ajay athreya,0,0,https://www.google.com/maps/contrib/112347877360891688649?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4cVk3NDhnRRAB,"The moment I entered this university, I was taken aback with its green campus and infrastructure that matches international standards. I am so glad to be studying at a campus which has a student-friendly environment.",3 weeks ago,2020-08-01 14:33:19.940938,5.0,Nithya Naidu,1,0,https://www.google.com/maps/contrib/106622046391537128923?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4cWZhc2d3RRAB,I am glad I did my MBA from Alliance University because it offered me an opportunity to pursue professional certificate programs. A good curriculum with value-added certifications isn't easy to find within the same college.,3 weeks ago,2020-08-01 14:33:19.941924,5.0,Trinath Reddy,1,0,https://www.google.com/maps/contrib/111180581881938068667?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4NGJLd1ZnEAE,"Whether it is the student activity center, or even the spacious residence halls, Alliance University has built the perfect infrastructure to provide us with a unique learning and living experience.",3 weeks ago,2020-08-01 14:33:19.942792,5.0,prasad Thakre,1,0,https://www.google.com/maps/contrib/111589780197885997468?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4NGF5bzFRRRAB,"One thing that has stood out for me is Alliance University's faculty. Here, my professors are always willing to listen, understand, and provide solutions. Honestly, I do not have to think twice before talking to any professor whenever I have a doubt.",3 weeks ago,2020-08-01 14:33:19.943662,4.0,manpreet kaur,1,0,https://www.google.com/maps/contrib/106632652130152658284?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4NGNEd2tRRRAB,"I am currently pursuing an MBA from Alliance University, and I must say the industry-specific curriculum has improved my understanding of the real business problems. Plus, the field projects and company visits have given me clarity on how my expertise can be put into action.",3 weeks ago,2020-08-01 14:33:19.944530,5.0,Dillip Sahoo,1,0,https://www.google.com/maps/contrib/116879045935917547826?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4b1pmMmtnRRAB,"If you are planning to study at Alliance University, you are just one step away from studying at a top-ranked B-School in India. The campus, experienced faculty, hostels, and international exposure won’t disappoint you. I am happy I was a part of this business school.",3 weeks ago,2020-08-01 14:33:19.945398,5.0,Sushree Sangita,1,0,https://www.google.com/maps/contrib/104614931749165222147?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4b2J2a3p3RRAB,The infrastructure of the college is just awesome. You will enjoy the campus a lot as they have many activities which you can do in and around the campus. The faculty is really very good and helpful with everything. I am very happy and satisfied with Alliance University.,3 weeks ago,2020-08-01 14:33:19.946263,5.0,supriya shelke,1,0,https://www.google.com/maps/contrib/107260297015190767909?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4b2V2Rzl3RRAB,"I finished my MBA from Alliance University last year and enjoyed every moment spent here. I am thankful to all the experienced faculty members who have not only taught the curriculum, but also helped me learn how to apply my knowledge in real business situations.",3 weeks ago,2020-08-01 14:33:19.947129,5.0,manish Jain,1,0,https://www.google.com/maps/contrib/100391327373072119927?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4Z2Vxc0tnEAE,,3 weeks ago,2020-08-01 14:33:19.948077,1.0,Charu latha,0,0,https://www.google.com/maps/contrib/110651017348009291361?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4NG96SG9BRRAB,,a month ago,2020-08-01 14:33:19.948943,5.0,MANU H V,0,0,https://www.google.com/maps/contrib/114104460161036490587?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4X0txY1hnEAE,,a month ago,2020-08-01 14:33:19.949813,1.0,Varun RKO,1,0,https://www.google.com/maps/contrib/106201441220465868274?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4X0lDbWpRRRAB,Wonderful garden,a month ago,2020-08-01 14:33:19.950691,5.0,Rama krishna,0,0,https://www.google.com/maps/contrib/113949882636801831449?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4dktfQ3V3RRAB,Amazing,a month ago,2020-08-01 14:33:19.951569,5.0,Varun Kumar,2,0,https://www.google.com/maps/contrib/108824881393928000729?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4cVBybmNnEAE,Don't take admission. go through their history . At the time of my admission they informed me They will assist for education loan . So I paid 20000 rs for admission in the last moment they informed me I have to submit 4 check leaves. I asked them if I am going through education loan then why you require check leaves. They told me this is procedure. until further information we will not deduct any money from your account. I informed them Education loan is not approving for me from any bank so I am going to drop the course. And now they deduct 30000 rs which is my only savings during this covid time.,a month ago,2020-08-01 14:33:19.952463,1.0,aswin sabu,0,0,https://www.google.com/maps/contrib/100475228547459562042?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjNVlyN093EAE,Excellent Infrastructure Competent faculty,a month ago,2020-08-01 14:33:26.254866,5.0,LAKSHMI NARASIMHAN SRINIVASACHARI,0,0,https://www.google.com/maps/contrib/110637847794562413024?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjNVlMYlVREAE,,a month ago,2020-08-01 14:33:26.256025,5.0,Vivek .V.Parakkal,10,0,https://www.google.com/maps/contrib/116455757930020350232?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjNGVLOFlnEAE,,a month ago,2020-08-01 14:33:26.257011,5.0,Ravikumar Murali,0,0,https://www.google.com/maps/contrib/105794037655530217491?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjanR5MG53RRAB,,a month ago,2020-08-01 14:33:26.258097,5.0,The_ Vajrala,0,0,https://www.google.com/maps/contrib/110033564194317800998?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjeHVlRTBnRRAB,,a month ago,2020-08-01 14:33:26.258999,2.0,rakshith n,0,0,https://www.google.com/maps/contrib/103453018707904490732?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjeXR2NmxnRRAB,,a month ago,2020-08-01 14:33:26.259891,5.0,Source of all Knowledge,0,0,https://www.google.com/maps/contrib/106290477994314103474?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjeXYzQ0lBEAE,,a month ago,2020-08-01 14:33:26.260848,5.0,Hariprasad Gowda,0,0,https://www.google.com/maps/contrib/105727118146691629620?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjNHNlYUtBEAE,,a month ago,2020-08-01 14:33:26.261797,5.0,Harinath Aireddy,0,0,https://www.google.com/maps/contrib/113991907362100039010?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjdk56cHdnRRAB,,2 months ago,2020-08-01 14:33:26.262663,1.0,GOWTHAM RS,0,0,https://www.google.com/maps/contrib/103334431339779326007?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjNEotLVZBEAE,,2 months ago,2020-08-01 14:33:26.263613,5.0,Nandini Patel,0,0,https://www.google.com/maps/contrib/116260737477061842265?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjd00tXzdBRRAB,,2 months ago,2020-08-01 14:33:32.601813,5.0,abarajithan ragav,0,0,https://www.google.com/maps/contrib/101460142969499561041?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNjcDQyMFBREAE,,3 months ago,2020-08-01 14:33:32.602938,5.0,Prathamesh Chunchuwar,0,0,https://www.google.com/maps/contrib/103655934569325710201?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNjeThXX2JBEAE,,3 months ago,2020-08-01 14:33:32.603918,4.0,Harsh Raj,0,0,https://www.google.com/maps/contrib/113235883060775392911?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNjOC1tZ1F3EAE,,3 months ago,2020-08-01 14:33:32.604832,5.0,WTF,1,0,https://www.google.com/maps/contrib/110324230716789387058?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNjazdPdTd3RRAB,,3 months ago,2020-08-01 14:33:32.605712,5.0,N H Nani N H,1,0,https://www.google.com/maps/contrib/111846146761594591432?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzNmIzSER3EAE,,4 months ago,2020-08-01 14:33:32.606700,1.0,sachin r,2,0,https://www.google.com/maps/contrib/114705750272719143766?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzN3JyWVVBEAE,,4 months ago,2020-08-01 14:33:32.607785,5.0,cs b,0,0,https://www.google.com/maps/contrib/109959961748004263966?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzaHYzbDRBRRAB,I made a call to the University from the contact number given on their website but the call was not received on any of the 3 numbers.,4 months ago,2020-08-01 14:33:32.608759,1.0,Krishna,0,0,https://www.google.com/maps/contrib/109778816272828223104?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzbk1LTzlnRRAB,,5 months ago,2020-08-01 14:33:32.609714,1.0,Arthi Arthi,0,0,https://www.google.com/maps/contrib/113875455436315536335?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzN1BDX3d3RRAB,,5 months ago,2020-08-01 14:33:32.610719,5.0,akhi P nair,0,0,https://www.google.com/maps/contrib/104471604803788430934?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzd05lWGtBRRAB,,5 months ago,2020-08-01 14:33:39.019619,2.0,S Sushmita,1,0,https://www.google.com/maps/contrib/117690390126232676248?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNzMThxUzJnRRAB,Worst academic environment. I was a faculty there in law school. It was the worst academic experience I ever got.,5 months ago,2020-08-01 14:33:39.020493,1.0,Nainy Singh,6,0,https://www.google.com/maps/contrib/107195237101618925336?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzdTduS093EAE,,5 months ago,2020-08-01 14:33:39.021361,5.0,rakesh karegar,1,0,https://www.google.com/maps/contrib/101836245870996991026?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzbzlPY1RBEAE,,5 months ago,2020-08-01 14:33:39.022230,5.0,Vijay Balaji,2,0,https://www.google.com/maps/contrib/103196406380079052756?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNzcGFTTi1RRRAB,,5 months ago,2020-08-01 14:33:39.023166,5.0,hemanth kumar,0,0,https://www.google.com/maps/contrib/109768076870678983201?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNRNjRqenFRRRAB,(Translated by Google) God clg  (Original) Gud clg,5 months ago,2020-08-01 14:33:39.024087,5.0,Kishore Reddy's Ssk,0,0,https://www.google.com/maps/contrib/111774716684705332066?hl=en-IN
