,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred
ChZDSUhNMG9nS0VJQ0FnSUM4djdYaWZnEAE,This is nice institute and others Contreras people learn in college,5.0,0.4215,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURNcTlEMnlRRRAB,It's nice place. The technology based place is good option who love to explore new things. There is a science museum so you can explore and prove many science laws and experiments. Many theories of maths are proved there.,4.0,0.872,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUM4bHJYQklBEAE,"Great environment campus is very huge and very well manage,",5.0,0.8437,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUMwbFlmaDJBRRAB,"Very good university in private sector, The best private engineering education institute in India. The institution is maintaining under Birla trust even,education is costlier here but Due to its brand name talented students are being attracted through online test. The education imparting here is good quality and at par with other government higher institutes.",5.0,0.9574,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUMwMjc3U2t3RRAB,"Probably one of the best private engineering institute in all of India. Been to their annual sports fest twice and BITS Pilani never disappoints. This college has a massive campus with world class sports, research and living facilities. Mess food is good and their canteens provide highly subsidized tasty food :p",5.0,0.8309,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURjMTg2RFd3EAE,Glad to join the best institution for CSE.,5.0,0.8555,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNjM1liQUhREAE,I personally feel my college gives a wode range of opportunities to each and everyone who want to achieve something in their feild of intrest whatever it may be academics of extra ciricullar activities  Fee Structure And Facilities  The only drawback I feel about the college is fee structure. The fee is quite large amount. A student need to pay around 3.2 lakhs of tution fee and a fee of 80 thousand for hostel and food if one is doesn't get any scholarship and this structure keep changing.  Placement Wing  10/10  Placement scenario is also very good.Being one of the tier-A college in India the average package ranges between 14 lakhs and 16 lakhs.The highest package usually crosses one crore and most probably there will be 100% placements  Hostel Facilities  10/10  I currently live in a hostel. I'm a sophomore and I could opt for a single occupancy room or a double occupancy. I've opted for a double occupancy room.It has a very good infrastructure. They give you a cot a table a chair a white board etc.  Alumni  My college has extra ordinary alumni network. Alumni are very helping and are always constantly helping to take the college forward. Alumni meets/reunion take place very frequently and they guide you about the life outside and after bits.  Faculty  10/10  The faculty is very good.Everyone has completed their Ph.D and are very passionate about teaching. Our college is one of the best colleges for faculty in India if you want to carry forward your reasearch work.  Campus Life  10/10  My college has a very good infrastructure and advanced sports facilities and laboratories. We get a lot of free time to develope our skills in a sport that we used to play or even their are handfull of opportunities to learn a new sport/music instrument etc.  Course Curriculum Overview  10/10  The course curriculum is very flexible and you have a freedom to make your own timetable and opt for the courses of your choice which no other college in India provides.But there are a lot of exams that you have to write and the institute is very keen about transparency of exams.  College Events  10/10  There are many events that occur in my college. There are three fests we celebrate every year.they are BOSM(sports fest) OASIS(cultural fest) APOGEE(technical fest).Among the three oasis being the second largest cultual fest is celebrated on a high scale.Apart from these there are many events that go through out the year  Loan/ Scholarship Provisions  My college gives scholarships on two criteria.The first one is Merit and the other one is Merit cum need scholarship. Out of the two if you need to avail the first one there is CGPA cutoff of about 9.7 and to avail the second one there is a CGPA cutoff of 6.1 and annual income cutoff of 10 LPA.,5.0,0.994,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUMwanRhWjJRRRAB,My memories are highly attached to this place. Proud to be BITSIAN,5.0,0.4767,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURzdVluWUpBEAE,No 1 private college of india prefer this over nits ..... Best college,5.0,0.4588,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURzM0ppeGlnRRAB,It is an institute which is estblished by Shri Ganshyam Das Birla. It is a one of the top most institute in the india. This institute having own compitititon exam for admission here. So that after 12th if any student want to admission there then they will must give the exam of BITSAT. The environment of this institute is very cool and very amazing. Also this institute having a good number of facilities. Also the placement facility of this institute is very efficient. The events which are organizing in this institute are very amazing and they also having a good crowd. This institute provides the all types of facilities to students for there career and self motivation. This institute always try to make the students a good engineer in there life. One of the most equivalent facility is that this institute having all type of stores in own campus. Also they have there own all night canteen for the students with the low price rates. The life of students of this institute is very amazing because they provide an environment to make the students on the next level of sincerity. When we describe the in one word it is a 'Haven' for the engineering and Masters students. Also in this institute a very beautiful Maa Saraswati Temple is also available. This institute also having A Birla Science Museum also where all type of Scientific things are available in just below on one ceiling. We can say that it is very good place when if  anyone get a admission In this institute.,5.0,0.9889,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSURzd3V6aXZRRRAB,Infrastructure is ❤️ Indeed a wonderful institute for higher studies.,5.0,0.5719,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURZeDdLdGRnEAE,"Very good university in private sector, The best private engineering education institute in India. The institution is maintaining under Birla trust even,education is costlier here but Due to its brand name talented students are being attracted through online test. The education imparting here is good quality and at par with other government higher institutes.",5.0,0.9574,Positive,4,4.5,5
