id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUM4XzY2amR3EAE,,2 weeks ago,2020-08-01 14:21:18.471379,5.0,Manjushree Manju,0,0,https://www.google.com/maps/contrib/110214722533235001675?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4MnF6Wll3EAE,,4 weeks ago,2020-08-01 14:21:18.472382,5.0,YOGANANDA REDDY,0,0,https://www.google.com/maps/contrib/102028672498210744443?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4MU1MdFhnEAE,,a month ago,2020-08-01 14:21:18.473553,5.0,MENSI BASUMATARI,1,0,https://www.google.com/maps/contrib/111494337473468411843?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjeHEycnlnRRAB,,a month ago,2020-08-01 14:21:18.474492,4.0,Rahul Shinde,3,0,https://www.google.com/maps/contrib/108931213845087870335?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjNnB2Y3FBRRAB,,a month ago,2020-08-01 14:21:18.475418,5.0,abhijit roy,0,0,https://www.google.com/maps/contrib/102836990618620008763?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURjbk9tS3B3RRAB,,2 months ago,2020-08-01 14:21:18.476335,5.0,suhas sunkad,2,0,https://www.google.com/maps/contrib/112607457970483462545?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNjdGVTb3V3RRAB,Excellent infrastructure and have almost all modern facilities which includes  Plugo the powerbank on rent service which is simply awesome and great idea.,4 months ago,2020-08-01 14:21:18.477245,5.0,Saurabh Soni,192,0,https://www.google.com/maps/contrib/115993517671815878344?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNjcGZid3VnRRAB,,4 months ago,2020-08-01 14:21:18.478411,5.0,Nihar,0,0,https://www.google.com/maps/contrib/115902587554106666621?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzbnV1MldBEAE,,4 months ago,2020-08-01 14:21:18.479334,5.0,Tejas Kotha,0,0,https://www.google.com/maps/contrib/112037700772381752932?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzbnFPUF9nRRAB,The campus is amazing,4 months ago,2020-08-01 14:21:18.480251,4.0,THE Wolverine,0,0,https://www.google.com/maps/contrib/103238884900211147296?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzbXRMVkNnEAE,,5 months ago,2020-08-01 14:21:18.481163,5.0,Archit Semwal,0,0,https://www.google.com/maps/contrib/109235532043469876886?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzNHZxWDJBRRAB,,5 months ago,2020-08-01 14:21:18.482070,5.0,Grk Kshatriya,7,0,https://www.google.com/maps/contrib/105825758017323233098?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzNHZxQktREAE,,5 months ago,2020-08-01 14:21:18.483064,5.0,ranjith kumar,0,0,https://www.google.com/maps/contrib/102895884048476925179?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzNkxUaWN3EAE,Very good infrastructure and staff also food 10/10,5 months ago,2020-08-01 14:21:18.483972,5.0,Sanchit Mehta,0,0,https://www.google.com/maps/contrib/105745495462353616432?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzOE1XTzVRRRAB,,5 months ago,2020-08-01 14:21:18.484904,5.0,narayan datt,0,0,https://www.google.com/maps/contrib/116352821729777490928?hl=en-IN
