,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred
ChdDSUhNMG9nS0VJQ0FnSURRMHZEODJnRRAB,Don’t be fooled into believing everything that the advertisements of LPU says. The fees of B.Tech course and hostel is EXTRAVAGANT. The fee structure of college will surely convert a middle class person into a PAUPER by the end of the course. But if you want only fun during college days then go and get your admission there.,1.0,0.7227,Positive,5,3.0,3
ChZDSUhNMG9nS0VJQ0FnSUM4aXVLRkN3EAE,Very good infrastructure and facilities. also the atmosphere is very nice.  the best thing is u need not to go any where for anything every thing is available within the campus. but the problem is there are so many students out there in Lovely professional  university that in btech only there are over 5000 of students.,4.0,0.8188,Positive,5,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNjcmJLbWVnEAE,"A good place for students up to PG level.  Research students atmosphere is not good.  May it requires more attention from management.  Infrastructure is there, good faculty also there.  Simple ego spoils the entire atmosphere.  They don't know team work and professional enthusiasm and sports men spirit in invention.   Hope this will be attended properly by the management.  I am wish to make a 5 star rating. Hope the change will give me a chance.",3.0,0.9476,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNjazhidlR3EAE,"Wow... The first word that comes-up once you drive besides the gigantic, lush green, 600+ acres mini township with state of the art infrastructure, best in the class security and surveillance. I truly believe there is no campus across the country that have this sort of facilities.   I ll also like to quote that LPU is having largest residential facility, more than 30000 students from all parts of the country, best placements, 200+ programs to offer, more that 2000 veteran faculties and much more...",5.0,0.9571,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjay1LNFZ3EAE,Lovely Professional University is a dream of land. Once you become the part of this big brand name believe me you get through a successful career for lifetime. LPU is very rich in diversity. It's entire atmosphere will help an individual to grow in his/her area of interest. LPU works on holistic development of student.Best exposure place to fulfill your goals. What best than this you can get.,5.0,0.9783,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4d2Myd0ZBEAE,Lpu University is very good University in India it is international University good infrastructure in Asia........ Lpunest you have to clear lpu nest exam to get admission in this University and to fulfil the criteria you should have minimum 60 marks in board exam....... Fee Structure And Facilities...... If you get good marks in Lpunest then you can get good scholarship like if you come in 21 to 35 percentage applicant you will get 30000 scholarship per semester.  Placements in lpu is very good the average package is 7 lakh and the highest package in 2017 is 37 lakh. Hostel rooms are good in LPU University Alumni is good like Rahul taygi from cse department gurupreet Singh from Mahindra and Mahindra etc Fest is happen by department of verval ablity 3days in a week quiz game is always happens. here are four components class test mid term exam end term exam and attandance marks. Teaaher is focused on students always when they are doing pratical in the labs and always pay attention with students. Student get new idea in internship it is the best way to develop the skills in lpu In lpu effi cycle competition is happen many students take part in that race from different University go cart race cultural program and more then 100 events are happen in lpu University provides loan letter and it has tie up with SBI cbi obc pnb and kotakbank students should get loan easily,5.0,0.9875,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURVOWRiVjJ3RRAB,Best place for study and sports .. badminton arena in awesome,4.0,0.8519,Positive,5,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUNzemRIdDJ3RRAB,One the most popular deemed University. Placement ratio is also good fee structure is on little higher side.. than other universities.... but overall its a good choice.... Also its a hub for multinational students.... infrastructure security system.. and rules... Are the positive points of this University....,5.0,0.9418,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURzd3ZTcy13RRAB,It is one of the best univeristy in north India. It is providing more than 100+ courses or field. They are having good infrastructure which is of 600+ acres of campus. For studies it is not that much good but to explore yourself or to improve your personal skills then this university provides more opportunities for you to grow your internal skills.,3.0,0.8894,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURzb2ZIclRREAE,"This is one of the best private university in India with modern infrastructure, great academic faculties and a visionary leadership. Located outskirts of the city. Has hostel facility, students from all over India and World are studying here. Provides industry need course with extra curricular activities. There are no of activities you can take part of like dancing, singing, technical, you name it and it's here.",4.0,0.9186,Positive,5,4.5,5
