id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUQ4eDdydllBEAE,,2 hours ago,2020-08-01 15:19:32.987423,3.0,SM Group,3,0,https://www.google.com/maps/contrib/113223472962716086928?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4dTViYmpBRRAB,,a day ago,2020-08-01 15:19:32.988376,5.0,Sujan Amin,0,0,https://www.google.com/maps/contrib/104147170158294977487?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQ4cTlYVWV3EAE,,2 days ago,2020-08-01 15:19:32.989231,5.0,SUDHAKARA NAIK,2,0,https://www.google.com/maps/contrib/100709763293937792280?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4eTRTWjVRRRAB,,2 days ago,2020-08-01 15:19:32.990162,5.0,akshay kumar,0,0,https://www.google.com/maps/contrib/100831224104637461853?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4OF9QeV9RRRAB,,3 days ago,2020-08-01 15:19:32.991012,5.0,Nithesh Suvarna,1,0,https://www.google.com/maps/contrib/100605218420254533339?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4ODlPSTZRRRAB,,3 days ago,2020-08-01 15:19:32.991868,1.0,suhas.v venkat,1,0,https://www.google.com/maps/contrib/111816794361877561901?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4Z19IM3ZnRRAB,,4 days ago,2020-08-01 15:19:32.992719,5.0,Shashidhar Rao,5,0,https://www.google.com/maps/contrib/101867063781000979889?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjMktib1VnEAE,Its awesome,5 days ago,2020-08-01 15:19:32.993695,5.0,Jayashish Pandey,1,0,https://www.google.com/maps/contrib/109528570963500322148?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQ4bmVuVEF3EAE,,6 days ago,2020-08-01 15:19:32.994546,5.0,Laxminarayana Mallya,1,0,https://www.google.com/maps/contrib/105759841184262341062?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQ4MWZYa093EAE,,a week ago,2020-08-01 15:19:32.995480,4.0,Amogh Bhat,0,0,https://www.google.com/maps/contrib/116506493203106797312?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQ4MWN5MFBBEAE,,a week ago,2020-08-01 15:19:32.996370,5.0,Deepu Vijayasenan,0,0,https://www.google.com/maps/contrib/106749138495557117114?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4bFp1bTl3RRAB,,a week ago,2020-08-01 15:19:32.997482,5.0,Nishan Shetty,0,0,https://www.google.com/maps/contrib/100645197493830916168?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQ4aGYzV1lnEAE,,a week ago,2020-08-01 15:19:32.998381,5.0,Shashwat Chaturvedi,0,0,https://www.google.com/maps/contrib/101111532328925967121?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQ4NlpHTkR3EAE,,a week ago,2020-08-01 15:19:32.999237,5.0,Ravichandra Bhat,3,0,https://www.google.com/maps/contrib/117907240783863708253?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4cVpUMXdnRRAB,,a week ago,2020-08-01 15:19:33.000091,5.0,Harsha MM,1,0,https://www.google.com/maps/contrib/108732795427578223921?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUQ4aVotSlFBEAE,Good campus,a week ago,2020-08-01 15:19:33.000947,5.0,Sudhir Kumar,0,0,https://www.google.com/maps/contrib/104849840994019579157?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4clpYbWx3RRAB,NO 1 COLLEGE,3 weeks ago,2020-08-01 15:19:33.001803,5.0,Punit B,1,0,https://www.google.com/maps/contrib/105978947744646139953?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4eWNfMENBEAE,,3 weeks ago,2020-08-01 15:19:33.002659,4.0,Swapnil M Swamy,0,0,https://www.google.com/maps/contrib/109786212636064645105?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4eWFmUk93EAE,(Translated by Google) Bhadira  (Original) Bhadira,3 weeks ago,2020-08-01 15:19:33.003562,5.0,SURENDRA SINGH,3,0,https://www.google.com/maps/contrib/102092602839650493120?hl=en-IN
