,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred
ChdDSUhNMG9nS0VJQ0FnSURjdEt5bG5BRRAB,Worst clg no response no respect 😠 20lakh management quata fees still build is in construction all incomplete work started business,1.0,-0.6444,Negative,1,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURjdE95b2NBEAE,Don't join it's worst fig incomplete infrastructure all fake what they say,1.0,-0.1764,Negative,2,1.5,1
ChdDSUhNMG9nS0VJQ0FnSUNjNTQyZXNBRRAB,Credit goes to Dr. K Balasubramanya Murthy for his untiring efforts and dedication,4.0,0.3818,Positive,3,3.5,4
ChZDSUhNMG9nS0VJQ0FnSUMwa3E2ekVBEAE,"The PES University was not a very popular name back then.  Now, the tables have turned and the whole name itself is quite the talk of most of the college going youngsters. Recently, I had been to this place with our school students to participate in some of the events conducted by the University for the whole of Bangalore and neighbouring states. The Amateur Scientist.  It was conducted on a large scale. Over 10,000 children from different schools had attended this event. Initially, we found it difficult to gain entry. But then, the college volunteers did overwhelmingly help us and the children did gain entry into the events. It was a wholesome experience overall. Thanks to the CEO of the University who really initiated all the arrangements and organised the events and all the teachers had a comfortable day in the University. It's a huge area covered with five or six buildings. The architecture department building was the one that the teachers were served food and beverages, and it is a state-of-the-art building. The amphitheatre, the lounge and everything. Just a lovely college. I am sure it would be a dream for most of the youth to graduate under this banner.👌👍😊",5.0,0.9933,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURVaHR5eEtnEAE,A very good University in the recent years. The coaching offered here is very good with eminent and well experienced teachers. The campus is huge and also clean and well maintained. The results obtained here is almost cent per cent. The students who have all studied here are placed in good and leading companies. Hats off to this University.,5.0,0.9476,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURjbEpIWUdBEAE,2nd best college in Karnaraka,4.0,0.6369,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNVMzhteUtnEAE,It is one of the top 5 colleges in Karnataka.  Facilities are good. They are so many events conducted every year in this university. One of the big event conducted is ‘The Amateur Scientist’. They give interns for students with great ideas. There is a Microsoft Innovation Lab.  There is even MBA and BBA in this campus.   It is one the best college.,5.0,0.9393,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNzdzlPR01REAE,PES university in RR campus is one of the best engineering college in Bangalore and there are LLB and BBA courses also offered in this college.,4.0,0.6369,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNzN3JtRVZBEAE,Why is there no NCC in PES all the other facilities are awsone education is good but why no NCC in such a huge organisation,3.0,0.128,Positive,3,3.0,3
ChZDSUhNMG9nS0VJQ0FnSUNNaF82dGFnEAE,An education autonomous in nature with good facilities and commercially toigh on pockets for management seats if not for merit.,5.0,0.1451,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjeXRyZnpBRRAB,"Best place to study, explore knowledge",5.0,0.6369,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSURnOC1XMDVnRRAB,"One among the top 3 Private University in Bengaluru, which offers courses Applied Science Courses(B Tech, M Tech, BCA, BBM, BHM, BBA, B Com, MBA,  MBBS in other Campus, Research Programs - Ph D. Its a Karnataka State Private University, comes under the purview of University Grant Commission. Quality of Education is very good. Timing they follow 8:15 am to 5pm for Employees and 8:15am to 4 pm for Students. Its close by Nayana halli Metro Station(Mysuru Road Metro Station). BMTC Buses are available throughout the day. Fee Comparatively huge for Management Quota Students, But for those who attend their entrance exam they will have to pay almost the double the Fee of Karnataka CET Fee.  For Students: Must join if you want to study and excel in your field of Interest. For Job Seeker: Good Organization to get the knowledge and experience. Comparatively Salary is low you have to compromise on that.  They will take you for outing every year.",5.0,0.9497,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURvc01PX0ZnEAE,It's a very good college. It's an autonomous college. They take separate exams for admission. Parking Is available. Many events are conducted. Placements are very good.Almost all the students get placement. There is an indoor basketball court😅. Infrastructure is very good.,5.0,0.8354,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURzem9ld0x3EAE,Ok ok type,3.0,0.5267,Positive,4,3.5,4
ChdDSUhNMG9nS0VJQ0FnSURzOFA3TjlBRRAB,"Worst college ever, Management is very very worst persons, money minded people..",1.0,-0.868,Negative,1,1.0,1
ChdDSUhNMG9nS0VJQ0FnSURrMjdQOHNRRRAB,"The worst call service, the number provided never picks the calls or even respond but always remains busy tone, from past 2 weeks I am trying to contact the university number, because I am not in town. Kindly show the courtesy to respond to the calls.",3.0,-0.2828,Negative,2,2.5,2
ChZDSUhNMG9nS0VJQ0FnSUNVM2N1VFpnEAE,It was a nice University had fun all day . Very good for learning,5.0,0.8516,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUQwX2V6ZnFBRRAB,Great place to do engineering.,5.0,0.6249,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNVblo2elV3EAE,One of the top ten colleges in Bangalore with amazing placement opportunities.,5.0,0.802,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURZcElHNERnEAE,Educationally very popular and one of the best institutions in Bengaluru. Campus lacks play grounds. Food in the hostels isn't so good.,4.0,0.7694,Positive,4,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURrNC1PR3N3RRAB,Discussion is only money and all seats are sold to agent and management quota.Many parents dissapointed the way PES UNIVERSITY coducting the councilling and seat allocation .Really bad.I will not recomment in my life to any people in karnataka.,1.0,0.0,Neutral,2,1.5,1
