id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURjdEt5bG5BRRAB,Worst clg no response no respect 😠 20lakh management quata fees still build is in construction all incomplete work started business,3 weeks ago,2020-06-18 22:17:32.151477,1.0,krishna n,9,0,https://www.google.com/maps/contrib/112190440850871775973?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjdE95b2NBEAE,Don't join it's worst fig incomplete infrastructure all fake what they say,3 weeks ago,2020-06-18 22:17:32.157022,1.0,jio updates,4,0,https://www.google.com/maps/contrib/114175558823021629667?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNjNTQyZXNBRRAB,Credit goes to Dr. K Balasubramanya Murthy for his untiring efforts and dedication,a month ago,2020-06-18 22:17:32.160180,4.0,R K Seetharamu,640,0,https://www.google.com/maps/contrib/102245934985862235075?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUMwa3E2ekVBEAE,"The PES University was not a very popular name back then.  Now, the tables have turned and the whole name itself is quite the talk of most of the college going youngsters. Recently, I had been to this place with our school students to participate in some of the events conducted by the University for the whole of Bangalore and neighbouring states. The Amateur Scientist.  It was conducted on a large scale. Over 10,000 children from different schools had attended this event. Initially, we found it difficult to gain entry. But then, the college volunteers did overwhelmingly help us and the children did gain entry into the events. It was a wholesome experience overall. Thanks to the CEO of the University who really initiated all the arrangements and organised the events and all the teachers had a comfortable day in the University. It's a huge area covered with five or six buildings. The architecture department building was the one that the teachers were served food and beverages, and it is a state-of-the-art building. The amphitheatre, the lounge and everything. Just a lovely college. I am sure it would be a dream for most of the youth to graduate under this banner.👌👍😊",8 months ago,2020-06-18 22:17:32.163013,5.0,Savitha Venkatraman,99,0,https://www.google.com/maps/contrib/105191475854046356079?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURVaHR5eEtnEAE,A very good University in the recent years. The coaching offered here is very good with eminent and well experienced teachers. The campus is huge and also clean and well maintained. The results obtained here is almost cent per cent. The students who have all studied here are placed in good and leading companies. Hats off to this University.,9 months ago,2020-06-18 22:17:32.165653,5.0,arianprakash prakash,641,0,https://www.google.com/maps/contrib/106205018511734475100?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURjbEpIWUdBEAE,2nd best college in Karnaraka,3 weeks ago,2020-06-18 22:17:32.168353,4.0,ARAVINDAIAH G M,14,0,https://www.google.com/maps/contrib/108376735750178954534?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNVMzhteUtnEAE,It is one of the top 5 colleges in Karnataka.  Facilities are good. They are so many events conducted every year in this university. One of the big event conducted is ‘The Amateur Scientist’. They give interns for students with great ideas. There is a Microsoft Innovation Lab.  There is even MBA and BBA in this campus.   It is one the best college.,10 months ago,2020-06-18 22:17:32.174481,5.0,Gummadi Nishna,0,0,https://www.google.com/maps/contrib/108641097307576527898?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzdzlPR01REAE,PES university in RR campus is one of the best engineering college in Bangalore and there are LLB and BBA courses also offered in this college.,4 months ago,2020-06-18 22:17:32.177748,4.0,santhosh kumar,0,0,https://www.google.com/maps/contrib/109020555424827402557?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzN3JtRVZBEAE,Why is there no NCC in PES all the other facilities are awsone education is good but why no NCC in such a huge organisation,4 months ago,2020-06-18 22:17:32.180767,3.0,Bharath uploads,7,0,https://www.google.com/maps/contrib/111548928419528377122?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNNaF82dGFnEAE,An education autonomous in nature with good facilities and commercially toigh on pockets for management seats if not for merit.,6 months ago,2020-06-18 22:17:32.183568,5.0,Ajit Bagmane,3,0,https://www.google.com/maps/contrib/116619900871053461429?hl=en-IN
