id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUMwemJ5SmFBEAE,One of the best engineering institute. Now got the Institute of Eminence by govt of India.,9 months ago,2020-07-22 18:07:23.540333,5.0,N SADISHKUMAR Natarajan,0,0,https://www.google.com/maps/contrib/107653355339539580396?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURZMWIzdXRnRRAB,"Awesome place many trees,cool environment and good hostels...",a year ago,2020-07-22 18:07:23.541832,5.0,venkat sathwik kethepalli,0,0,https://www.google.com/maps/contrib/112731010391546507186?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURZcE16d2xBRRAB,Excellent Campus.,a year ago,2020-07-22 18:07:23.543122,4.0,Hemanshu Bhatia,0,0,https://www.google.com/maps/contrib/115735206225426364515?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURraWFEaVBnEAE,Great Infrastructure,a year ago,2020-07-22 18:07:23.544122,5.0,Kalluri Manikanta,0,0,https://www.google.com/maps/contrib/107094928881327077619?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzMDc2Tkp3EAE,Bloody college. Thirst for money. Huge campus and should pay for the settle bus fare.....  Just a business to top.,5 months ago,2020-07-22 18:07:23.545135,1.0,Agent king,8,0,https://www.google.com/maps/contrib/103345544395449875072?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURVaU5ycTZnRRAB,"One of the best campus in India,More than 10000 students are staying in hostel alone. they have 3 different kind of mess also south indian, north indian and international mess .Full of greenery every where.",11 months ago,2020-07-22 18:07:23.546302,5.0,jino john,0,0,https://www.google.com/maps/contrib/106939214971663618634?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNZdDViN1FnEAE,Best campus,a year ago,2020-07-22 18:07:23.547265,5.0,sapna taterh,5,0,https://www.google.com/maps/contrib/112440633681425382400?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURzb3VEeWx3RRAB,Awesome,4 months ago,2020-07-22 18:07:23.548229,5.0,UMA SATYA PRAKASH,0,0,https://www.google.com/maps/contrib/107523511107124467781?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUNna2NlVDlnRRAB,Ok,2 years ago,2020-07-22 18:07:23.549182,4.0,Mahadev Duary,0,0,https://www.google.com/maps/contrib/116935772580950393496?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4aXE3SjhBRRAB,,3 weeks ago,2020-07-22 18:07:23.550131,5.0,Shaik Shakeel,4,0,https://www.google.com/maps/contrib/112380320171659308351?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURNeXZxSTJ3RRAB,,6 months ago,2020-07-22 18:07:23.551253,5.0,SHAKIB AMAN MAZUMDER,4,0,https://www.google.com/maps/contrib/107425100543885088297?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUM4aG9TWHdRRRAB,,2 weeks ago,2020-07-22 18:07:23.552406,4.0,mahendra singh,0,0,https://www.google.com/maps/contrib/106351220023403973860?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUQ4NmVxSHVRRRAB,,a day ago,2020-07-22 18:07:23.553367,5.0,v vimal,1,0,https://www.google.com/maps/contrib/115847225821030824563?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSUMwenQ3NnBBRRAB,,9 months ago,2020-07-22 18:07:23.554406,5.0,Kunal Arora,0,0,https://www.google.com/maps/contrib/112708992209426978589?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURneEx5MHBBRRAB,,2 years ago,2020-07-22 18:07:23.555366,5.0,Rehan Dominic,0,0,https://www.google.com/maps/contrib/101621968217082418876?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURNNWNiN2h3RRAB,,6 months ago,2020-07-22 18:07:23.556373,4.0,Doraswamy Reddy Ambarapu,0,0,https://www.google.com/maps/contrib/102346236990140328566?hl=en-IN
ChdDSUhNMG9nS0VJQ0FnSURNN3BHNWhRRRAB,,6 months ago,2020-07-22 18:07:23.557535,5.0,Aditya Tiwari,0,0,https://www.google.com/maps/contrib/108823027366804910621?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNZazRpMmN3EAE,,a year ago,2020-07-22 18:07:23.558502,5.0,ali Sabun,0,0,https://www.google.com/maps/contrib/113911280769356630426?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzMXRYT1pnEAE,,4 months ago,2020-07-22 18:07:29.892242,1.0,Nihal NS,60,0,https://www.google.com/maps/contrib/116018819128970438968?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURzMExUcFdBEAE,,5 months ago,2020-07-22 18:07:29.893306,2.0,JAYANT GUPTA,0,0,https://www.google.com/maps/contrib/114878237813963624563?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUM4NnU2eVRnEAE,,2 weeks ago,2020-07-22 18:07:29.894572,4.0,Sai Ritish Guntupalli,0,0,https://www.google.com/maps/contrib/114460275044493173614?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNReGRiTlJ3EAE,,2 years ago,2020-07-22 18:07:29.895838,1.0,Vedant Jain,0,0,https://www.google.com/maps/contrib/107479842275352127024?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURFcHM3ZFJnEAE,,a year ago,2020-07-22 18:07:29.897160,4.0,shivam,0,0,https://www.google.com/maps/contrib/114640619791526419663?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURrN2ZfY0h3EAE,,a year ago,2020-07-22 18:07:29.898308,5.0,D Y,0,0,https://www.google.com/maps/contrib/112360279604063264605?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSURraS1LUERBEAE,,a year ago,2020-07-22 18:07:29.899432,4.0,Rasbin Antony,0,0,https://www.google.com/maps/contrib/106320372711243889483?hl=en-IN
ChZDSUhNMG9nS0VJQ0FnSUNzdl9YSkFREAE,,5 months ago,2020-07-22 18:07:29.900553,4.0,devansh jain,6,0,https://www.google.com/maps/contrib/114384132852729819387?hl=en-IN
