,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers
0,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,"What made BITS Pilani so good? How did it manage to rival the most prestigious University in India, the IIT's?",2,2,2/2,No,Followed,2020-07-24,https://www.quora.com/What-made-BITS-Pilani-so-good-How-did-it-manage-to-rival-the-most-prestigious-University-in-India-the-IITs,"Thanks for A2A What makes a college good in general? I guess the quality of students. India is country where quality of college is judged by the placement record of that college. Everything else is usually secondary. So BITS Pilani has a great placement track record which attracts bright minds of the country to be a part of BITS every year. Apart from this, good faculty, infrastructure and successful alumni have created a seperate brand name for BITS Pilani It does rival IIT Guwahati/Roorkee/BHU in terms of placements and academics maybe. But IIT is a bigger brand anyday. BITS Pilani, Pilani camp Continue ReadingThanks for A2A What makes a college good in general? I guess the quality of students. India is country where quality of college is judged by the placement record of that college. Everything else is usually secondary. So BITS Pilani has a great placement track record which attracts bright minds of the country to be a part of BITS every year. Apart from this, good faculty, infrastructure and successful alumni have created a seperate brand name for BITS Pilani It does rival IIT Guwahati/Roorkee/BHU in terms of placements and academics maybe. But IIT is a bigger brand anyday. BITS Pilani, Pilani campus is comparable to them because of the quality of students and legacy they have maintained over the years to be a top notch university. "
1,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,"What made BITS Pilani so good? How did it manage to rival the most prestigious University in India, the IIT's?",2,2,2/2,No,Followed,2020-07-24,https://www.quora.com/What-made-BITS-Pilani-so-good-How-did-it-manage-to-rival-the-most-prestigious-University-in-India-the-IITs,"Andhon mein kana, Raja ! This is the proverb that popped into my mind when I read this question. No one tries to question the rankings of such super-dooper Indian engineering colleges, internationally ! No one in Indian questions BITS about the fact that from where did they got the money to open colleges like BITS-Goa and Hyderabad ? They are NO saint.  BITS and IITs would shut down soon because of my research over the IIT-scam. Any Indian engineering college shall start producing highly skilled professionals, like is produced by popular Indian engineering colleges like BITS and IITs, if any Indian e Continue ReadingAndhon mein kana, Raja ! This is the proverb that popped into my mind when I read this question. No one tries to question the rankings of such super-dooper Indian engineering colleges, internationally ! No one in Indian questions BITS about the fact that from where did they got the money to open colleges like BITS-Goa and Hyderabad ? They are NO saint.  BITS and IITs would shut down soon because of my research over the IIT-scam. Any Indian engineering college shall start producing highly skilled professionals, like is produced by popular Indian engineering colleges like BITS and IITs, if any Indian engineering college starts offering these facilities to their engineering students to the maximum possible extent. The engineering students from BITS and IITs are able to hone their industry relevant skills by making use of these facilities provided by their engineering colleges. "
2,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,"Which is better, BITS Pilani Microelectronics or VIT Vellore VLSI?",5,2,5/2,No,Followed,2020-07-20,https://www.quora.com/Which-is-better-BITS-Pilani-Microelectronics-or-VIT-Vellore-VLSI,This correct answer is in Indian context: Since Indian engineering curriculum is 40 years old hence NO Indian engineering college produces any skilled-employable MicroElectronics or VLSI professional for the industry.Most of the MTech degree holders in India remain jobless or try to earn paltry salary here and there. Praveen Kumar Singh's answer to Do IITs have good placement records for M.Tech students?There is nothing called as MicroElectronics in 2020 and it is an 80 years old term. There are NO microelectronics companies in India.There are NO core private VLSI companies in India: Praveen KuContinue ReadingThis correct answer is in Indian context: Since Indian engineering curriculum is 40 years old hence NO Indian engineering college produces any skilled-employable MicroElectronics or VLSI professional for the industry.Most of the MTech degree holders in India remain jobless or try to earn paltry salary here and there. Praveen Kumar Singh's answer to Do IITs have good placement records for M.Tech students?There is nothing called as MicroElectronics in 2020 and it is an 80 years old term. There are NO microelectronics companies in India.There are NO core private VLSI companies in India: Praveen Kumar Singh's post in Indian engg. industryI have solved the education and unemployment problem for Indian youth through my research on Indian education system.
3,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,"Which is better, BITS Pilani Microelectronics or VIT Vellore VLSI?",5,2,5/2,No,Followed,2020-07-20,https://www.quora.com/Which-is-better-BITS-Pilani-Microelectronics-or-VIT-Vellore-VLSI,Obviously BITS Microelectronics. BITS is the first institute who started this branch in India. So you can guess who's better. Both VIT and BITS charges a lot for two years of M.Tech as they are private colleges. In BITS you will get core placements both internships and full time offers but in VIT most of the students get internship and later converted to full time on the basis of performance. Hope it helps! 
4,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,"Which is better to get into, BITS Pilani DUBAI campus or IITs?",1,1,1/1,No,Followed,2020-07-19,https://www.quora.com/Which-is-better-to-get-into-BITS-Pilani-DUBAI-campus-or-IITs,"It's absolute foolishness to compare IITs with BITS Dubai campus, the BITS college which are situated in india have got reputation because of the quality of students it intakes through BITSAT hence one can compare BITS(india situated campus) with the 2 and 3 generation IITs but not the older IITs whereas the Dubai campus intakes students merely on the basis of class 12 exams and everyone knows getting 95 % is way easier than just qualifying JEE Advanced so no quality as far as the student community is concerned,I can even say that BITS Dubai campus is not even at par with the NITs and IIITs situated in India. "
5,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,"At BITS Pilani, are electives same for Group A (B.Tech) and Group B (M.Sc Physics) Students?",3,1,3/1,No,Followed,2020-07-17,https://www.quora.com/At-BITS-Pilani-are-electives-same-for-Group-A-B-Tech-and-Group-B-M-Sc-Physics-Students,Two aspects to this - The pool of courses that are offered as choices to the students are exactly the same.The number (and types) of electives that a dual degree student and single degree student would require to complete as part of their degree requirements are different.I have written a very detailed post on the elective system here - Srajan Jain's post in BITS’ Magic! But that is more intended for those who are already students than it is for aspirants. Hope this helps. All the best. 
6,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,Is there Robotics at BITS?,2,2,2/2,No,Followed,2020-07-17,https://www.quora.com/Is-there-Robotics-at-BITS,"Yup…. there's a full fledged Robotics club that's pretty active (they've some pretty cool projects in their kitty and have secured a good amount of funding for some real high level projects in the past, so do check them out) and there's also an elective course called Robotics (no pre requisite course required) that's a lot more about the theoretical and mathematical aspects of the subject (also I don't know if they're offering this course anymore, you might as well check the timetable when you register courses, if you're interested in doing this course that is). Plus, if you have a good idea, t Continue ReadingYup…. there's a full fledged Robotics club that's pretty active (they've some pretty cool projects in their kitty and have secured a good amount of funding for some real high level projects in the past, so do check them out) and there's also an elective course called Robotics (no pre requisite course required) that's a lot more about the theoretical and mathematical aspects of the subject (also I don't know if they're offering this course anymore, you might as well check the timetable when you register courses, if you're interested in doing this course that is). Plus, if you have a good idea, then the campus also has a Sandbox, which is basically a tinkering lab but much better resourced, where you can start experimenting with your designs and if you can wangle with the committee well enough, you might actually get some funds from the college to realise the idea into a product. P.S. : This information could be dated, so catch up with the facts on campus incase you're interested in pursuing this. "
7,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,Is there Robotics at BITS?,2,2,2/2,No,Followed,2020-07-17,https://www.quora.com/Is-there-Robotics-at-BITS,"BITS Pilani, Pilani campus offer two interdisciplinary courses Robotics for first degree student and Robotics & Mechanism for higher degree student. They have dedicated lab for Robotics research and development named as Centre for Robotics and Intelligent Systems. Main highlights: This centre is known for its successful humanoid robot project ACYUT. This has been participated in many international competitions and secured position in top 3 five times and awarded best performance eight times. Recently, Autonomous car project has been started and is continuing. The most interesting and inspiring thin Continue ReadingBITS Pilani, Pilani campus offer two interdisciplinary courses Robotics for first degree student and Robotics & Mechanism for higher degree student. They have dedicated lab for Robotics research and development named as Centre for Robotics and Intelligent Systems. Main highlights: This centre is known for its successful humanoid robot project ACYUT. This has been participated in many international competitions and secured position in top 3 five times and awarded best performance eight times. Recently, Autonomous car project has been started and is continuing. The most interesting and inspiring thing is that the India's most successful Robotic hardware startup was initiated by the student of BITS Samay Kohli and Aakash Gupta founder of Grey Orange had worked in this Centre. Therefore, it would be one of the best place to initiate your robotics journey from Bits pilani. Hope this information is useful. Thanks "
8,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,What are my chances of getting BITS Pilani masters program at a gate score of 686 in 2020 electrical engineering branch?,2,1,2/1,No,Followed,2020-07-17,https://www.quora.com/What-are-my-chances-of-getting-BITS-Pilani-masters-program-at-a-gate-score-of-686-in-2020-electrical-engineering-branch,In this GATE Score you can easily manage to get a seat in BITS Pilani. But for microelectronics You have less chance.For other subjects like Communication and Embedded You will surely get there. But in this uncertainty anything could happen.You may get microelectronics also with ease. So Don't Worry Dear.Wait for the notification. All the best Thank You 
9,Birla-Institute-of-Technology-and-Science-Pilani-Pilani-Campus,"How is BITS Pilani, Pilani Campus CSE compared to IIT Tirupati CSE?",3,2,3/2,No,Followed,2020-07-22,https://www.quora.com/How-is-BITS-Pilani-Pilani-Campus-CSE-compared-to-IIT-Tirupati-CSE,"BITS pilani ,pilani campus CSE is just after top 7 IITs and comparable to IIT guwahati and IIT BHU… As per students choice ..it goes 1)IITB 2)IITD 3)IITM 4)IITK 5)IITKGP 6)IITR7)IITG 8)IITH 9)IITBHU 10)BITS PILANI PILANI CAMPUS IIT Guwahati and hyderabad should not be above BITS pilani …We can say that by startups BITS pilani is third in the country and has great alumni… 190 students have average cse placemnts of 27.01 LPA I dont want do go descriptive here "
