,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers
0,Vellore-Institute-of-Technology-Vellore,Can I get into the ECE branch at VIT Chennai with 92 percent marks? I did not attempt the JEE January.,0,1,0/1,No,Requested,2020-07-26,https://www.quora.com/Can-I-get-into-the-ECE-branch-at-VIT-Chennai-with-92-percent-marks-I-did-not-attempt-the-JEE-January,"Not sure. I do not knowcwhat the JEE is but i figure that it is a major test. In our schools, 100 is perfection and an A. If on that scale then a 92 is great! A good idea for you is to study and get in touch withVIT Chennai to see what all of their requirements are to get into their ECE branch. It also could be posted somewhere. Work hard to get where you want to be, you seem to be on the right track. Do not be nervous, afraid or worry. You can do this, it's all up to you! And if something wrong happens, maybe you can sit for/take the test again. Good luck! "
1,Vellore-Institute-of-Technology-Vellore,My son got 89.6% overall in class 12 and 87.8 percentile in the January JEE Mains. Can he get Computer Science in Thapar University or VIT Vellore?,2,2,2/2,No,Followed,2020-07-26,https://www.quora.com/My-son-got-89-6-overall-in-class-12-and-87-8-percentile-in-the-January-JEE-Mains-Can-he-get-Computer-Science-in-Thapar-University-or-VIT-Vellore,"You can other streams in Thapar university but there some less chances of getting CSE stream in Thapar. To get any stream at VIT Vellore you must have to score atleast 90+ percentile in JEE Mains. So , I think that you must repeat this year and study hard for JEE Mainsand get a good score to get a nice or dream college. Thank you and best of luck for your future. Please upvote and also follow me. "
2,Vellore-Institute-of-Technology-Vellore,I got 89.4% in CBSE Boards and 94.43 percentile in JEE Mains. Will I be able to get admission in VIT Vellore CS and in which category?,1,1,1/1,No,Followed,2020-07-26,https://www.quora.com/I-got-89-4-in-CBSE-Boards-and-94-43-percentile-in-JEE-Mains-Will-I-be-able-to-get-admission-in-VIT-Vellore-CS-and-in-which-category,First of all congratulations to you that you have secured such a good numbers in your exams and not coming to the admission procedure you will be able to get the admission for sure . You will have to produce your marks and rank to the college but you are lacking behind in you cbse marks but we can help you out with that the category will be mostly 2–3 but if you do more late it may go to 5th category too . So hope to see you soon so that our team can help you out . 
3,Vellore-Institute-of-Technology-Vellore,Can I get into VIT Vellore with the CSE stream having a JEE score of 94.35 percentile (general category)?,1,1,1/1,No,Followed,2020-07-26,https://www.quora.com/Can-I-get-into-VIT-Vellore-with-the-CSE-stream-having-a-JEE-score-of-94-35-percentile-general-category,"There is less chances of getting CSE or IT stream at 94.35 percentile for general category. VIT Vellore is very famous college and many students apply for this college , so I think that if you would have scored 95+ percentile in JEE Mains then you would get CSE or IT stream in VIT Vellore. You can get other streams like Mechanical which also had a good placement at VIT Vellore. "
4,Vellore-Institute-of-Technology-Vellore,"I got 92 percent in 12th class. Can I get into the ECE branch at VIT Chennai, and in which category can I get?",1,2,1/2,No,Followed,2020-07-26,https://www.quora.com/I-got-92-percent-in-12th-class-Can-I-get-into-the-ECE-branch-at-VIT-Chennai-and-in-which-category-can-I-get,"If you just have the boards percentage, then it might be difficult to get ece with your percentage. You should be able to get into Chennai campus, but chances are low and even if you do, you should be able to get mostly 5th category. As you just have mentioned boards marks, and around 13 lakh people give mains, and there are only very limited seats in ece. "
5,Vellore-Institute-of-Technology-Vellore,"I got 92 percent in 12th class. Can I get into the ECE branch at VIT Chennai, and in which category can I get?",1,2,1/2,No,Followed,2020-07-26,https://www.quora.com/I-got-92-percent-in-12th-class-Can-I-get-into-the-ECE-branch-at-VIT-Chennai-and-in-which-category-can-I-get,"Hi, yeah you can get ECE in CHENNAI campus as i said earlier also that this only 12th percentage is not sufficent to get admission along with 12th marks and JEE both is required to have admission. please let me known your JEE score/percentile then i only we can say which category ground will be provided to you. "
6,Vellore-Institute-of-Technology-Vellore,I got 92 percent in my 12th weight rank. Can I get into VIT?,2,1,2/1,No,Followed,2020-07-26,https://www.quora.com/I-got-92-percent-in-my-12th-weight-rank-Can-I-get-into-VIT,"Hello nishitha, Actually you have a good mark in 12th but that is only not sufficent for you to get in VIT UNIVERSITY you also need JEE score/ percentile also because all the admission intake for this year are made on the basic of JEE and 12th mark both as this year VIT haas cancelled his VITEEE due to COVID. Although you have a option of management seat through which you can join VIT . "
7,Vellore-Institute-of-Technology-Vellore,Can I get CSE in VIT Chennai at 90% in the CBSE in the 2nd category?,1,2,1/2,No,Followed,2020-07-26,https://www.quora.com/Can-I-get-CSE-in-VIT-Chennai-at-90-in-the-CBSE-in-the-2nd-category,"If you just have boards marks, then no. You won't be able to get CSE in 2nd category. Without a very high percentile in mains, it will be very difficult. You should able to get it in 5th category given that if you are able to get it, but chances for that are also non existent. "
8,Vellore-Institute-of-Technology-Vellore,Can I get CSE in VIT Chennai at 90% in the CBSE in the 2nd category?,1,2,1/2,No,Followed,2020-07-26,https://www.quora.com/Can-I-get-CSE-in-VIT-Chennai-at-90-in-the-CBSE-in-the-2nd-category,"Hello Friends, To be frank without Jee it’s very difficult to get CSE at VIT Vellore or Chennai branch in any category.. But don’t loose your hope keep expectations high it will encourage you because anything can be possible this year many predictions will go wrong this years after announcement of merit list so wait till results for more clearlity.. Hope this helps you… All the best!!!! "
9,Vellore-Institute-of-Technology-Vellore,Can I get CSE in VIT Chennai at 90% in the CBSE boards?,2,1,2/1,No,Followed,2020-07-26,https://www.quora.com/Can-I-get-CSE-in-VIT-Chennai-at-90-in-the-CBSE-boards,"Hello prudent, Based on your 12th marks only I don’t think you will get CSE and ECE in Vellore and Chennai Campus because they already mentioned that preference should be given to Jee Mains qualified students.. But don’t loose your hope keep expectations high it will encourage you because anything can be happen this year… Hope this helps you… All the best!!! "
