question,answers
Are vehicles allowed in PES university hostel? (north campus),"Yes, Vehicles are allowed in the college hostel"
Why has PESU scored such a low ranking in the NIRF 2020? Most of the other Bangalore colleges have obtained a higher ranking.,"The reason their ranking has dropped is that they have started using their proprietary exam system, the PESAT. The PESAT is a premier exam in the state of Karnataka, however, the discrepancies between the rankings students acquire in PESAT and government exams such as the COMEDK are huge. Since the NIRF does not have a base metric to judge the admittance in PESU due to the PESAT, their ranking has plummeted."
Why is the highest package offered at NIT Surathkal lower than RVCE and PES University in B.Tech CSE placements?,"I don’t know about the highest package in RVCE or NIT Suratkal but I can definitely tell you that packages are nothing to do with how good a college is.We hear a lot of news of people bagging some crores package in IIT’s or some other reputed college. This make us think that package relates to the quality of the college you study. Although you cannot directly decline this hypothesis but this doesn’t works all the time.Don’t focus over placements , no matter how bad a college is there will be always a bright student there who will work his ass off and bag that lucrative package you always dreamed. So just choose one and work hard to learn."
Why is the highest package offered at NIT Surathkal lower than RVCE and PES University in B.Tech CSE placements?,"Nope, this is not true. You can say that the highest packages mentioned in the placement brochure of NIT Surathkal may be lower than the highest packages of the colleges you mentioned. In placement brochure, only those packages and offers are mentioned which are offered by companies visiting the campus. The best coders of NITK do not even attend the placement process. They already have hefty job offers even before placement season begins, so they really don't have to attend the placement process of NITK. In my batch, two of the top coders got placed in Google Zurich office after internship program which they got after GSOC. There are many more such example.P.S. : Highest domestic package of NITK during 2017–2018 placement season was 38 LPA by Uber. So, I think you need to verify your facts again."
Why is the highest package offered at NIT Surathkal lower than RVCE and PES University in B.Tech CSE placements?,"Because the placement stats published by any Indian engineering college is NOT accurate and honest.NIT-Trichy, Surathkal, Warangal = Tier-1RV and PES are fraud tier-4 Indian engineering colleges."
"Does PESU RR campus offer minors in management-related courses? If so, what details are available in this regard?","Yes, PESU RR does provide minors in management related courses like finance etc. I have a very limited knowledge since some of my classmates are enrolled in it. They both have taken a course in finance. While the semester is ongoing we can take only one minor subject instead of 2 in summers.The timings are very relaxed. Its thrice/twice a week for 2hrs a day. Internal assessments and esa is also there. Its taken after college ends. According to them, it has not been a very burdensome subject to take on.Minor courses are offered from 1st year onwards, notices are put up everywhere on how to register for a minor course, how forms should be filled and the fees paid."
"Which is better for CSE, Nirma University or PES University?","Bruh! Can you hear yourself?If someone asks you in the future where did you graduate from, you gonna reply ‘I graduated from Nirma University’?What is the college's motto? -Doodh ki safedi Nirma se aayi, rangeen bache bhi khil khil jaye, Nirma se baandha samaa???Ghar bhar ke bacho ko pal mein nikkhaareHema, Rekha, Jaya aur Sushma! Sabki pasand Nirma!Lolol I am kidding.This is not even a comparison, PES ranks amongst the top colleges in Karnataka for CSE and Nirma university is unheard of. The only minus point of PES is the high fees. Except that, PES all the way.The kind of exposure a cse student gets in PESU is crazy. Competitive coding, hackathons, projects, research papers and to work in great many clubs is a great oppurtunity for the students to indulge in. The syllabus is also tailored to meet the latest industrial requirements. Every year the syllabus is updated. So its a very simple decison to choose PESU over Nirma."
"Is the entire annual fee of PES University taken all at once every year, or is it taken semester by semester?",The entire annual fee is taken all at once during the start of every new academic year. The time to pay is generally from June 15th to August 20th (may need to confirm). After that late fee charges gets added.
Is it possible to shift branches from EEE to ECE after the first year at PESU?,"Hey there!It is quite possible to shift but it largely depends on the number of seats left , number of people and your CGPA. You need to be among the top 5% of your batch to achieve this. You need to remember that there will be diploma students as well in this raceDuring the beginning of my second year, we had a few transfers from mechanical, and ig 1â€“2 from EEE.Anything you imagine is possibleSo stay safe, study hard and don't be disappointed if you don't get it ! The world is your oyester, seize it :)"
Is it possible to shift branches from EEE to ECE after the first year at PESU?,Yes it depends on lot other factors as well1)You need to get a really nice CGPA for that and should among the top students in your branch2)It depends whether there are vacant seats available for the change of branch3) You should not miss any test at any costAlso if you are eligible for it you need to pay an additional 10k for the same
