,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score
0,0,Indian-Institute-of-Technology-Madras-IITM,Is there a B.Tech in AI in IIT Madras?,2,1,2/1,No,Followed,2020-07-26,https://www.quora.com/Is-there-a-B-Tech-in-AI-in-IIT-Madras,"NO, IIT MADRAS is not offering AI course in B.Tech. The only college in the group of IIT’s offering the course ”AI” in B.Tech is IIT HYDERABAD. It is estimated that one should get rank less than 650 in JEE-Advanced to get into AI in Hyderabad as per 2019 statistics. ",0.0,Neutral,3,0.022988505747126436,1,3
1,1,Indian-Institute-of-Technology-Madras-IITM,"What one should choose keeping campus placement as priority, IIT Gandhinagar M.Tech mechanical or IIT Madras M.Tech Ocean engineering?",2,3,2/3,No,Followed,2020-07-25,https://www.quora.com/What-one-should-choose-keeping-campus-placement-as-priority-IIT-Gandhinagar-M-Tech-mechanical-or-IIT-Madras-M-Tech-Ocean-engineering,"I don't have any information regarding placement at IIT Gandhinagar, but for IIT Madras, I can give my 2 cents. Placement at IITM can be divided into 2 categories, namely core (Mechanical and civil) and non-core (banking, IT, consultancies, FMCG and data science). For core category in ocean engineering, situation is not so good. Most of the companies don't allow ocean engineering branch for core profile (not open, in IITM lingo). Mainly, companies in the sector of oil and gas sector opens for ocean engineering, but again situation of oil and gas sector is grim right now and will take 2–3 years t Continue ReadingI don't have any information regarding placement at IIT Gandhinagar, but for IIT Madras, I can give my 2 cents. Placement at IITM can be divided into 2 categories, namely core (Mechanical and civil) and non-core (banking, IT, consultancies, FMCG and data science). For core category in ocean engineering, situation is not so good. Most of the companies don't allow ocean engineering branch for core profile (not open, in IITM lingo). Mainly, companies in the sector of oil and gas sector opens for ocean engineering, but again situation of oil and gas sector is grim right now and will take 2–3 years to normalised. As for the other sectors, even if companies open for ocean engineering, they have stiff competition from Mechanical, Applied Mechanics and Aerospace department. These programs (machine design, computational and experimental Mechanics, thermal, Aerospace) generally have better overall course structures which suits wide sectors from OnG, automobile, aerospace etc and hence they have advantage over ocean engineering branch which have course structure specialised in ocean structures. So for ocean engineering student it acts as a double whammy i.e. companies not allowing them sit and even if they allow, have disadvantages in comparison to other programs students sitting for placement. I am not saying, it not possible but it is very hard and student have to be very good for core placement. Now for non-core categories, here all are equals. Most of the non-core profiles (95%) are open for whole institute. But to get placed in non-core a student have to follow a certain path, which I have described below. Start learning python, machine learning (have good grasp of linear algebra and probability & statistics), data science, deep learning from the starts of your mtech. Choose your electives from this domain and don't shy from MOOCs.Do course project and capstone project related to above domain and take part in kaggle and other such competitions.Learn basic sql (its easy and can be learn in 2 months).Do internship in your summer vacation.Placement in non-core sector requires hard work but it is guaranteed. In recent placement, all of my friends from ocean who were appearing in non-core profile have got decent placement in MNCs, while others who were appearing in core profile, some are still not placed. Disclaimer: My advice is don't try for both core and non-core, those who ride 2 boat at a time will eventually drown. Decide as soon as possible and focus on it like Arjun was. ",-0.3764,Negative,2,0.022988505747126436,1,1
2,2,Indian-Institute-of-Technology-Madras-IITM,"What one should choose keeping campus placement as priority, IIT Gandhinagar M.Tech mechanical or IIT Madras M.Tech Ocean engineering?",2,3,2/3,No,Followed,2020-07-25,https://www.quora.com/What-one-should-choose-keeping-campus-placement-as-priority-IIT-Gandhinagar-M-Tech-mechanical-or-IIT-Madras-M-Tech-Ocean-engineering,"Well there you have it. You have 2 contrasting responses to your question. But I would tend to agree with Rajat below that in the current times, it would be better to stick to something mainstream than something like something exotic like OE. It does restrict your employment prospects, even if the institute will allow you to. And if you do opt for OE, you would not only need to do extremely well in your course but also learn other skills as mentioned so that you are acceptable to the non-core employers. With Mech, that risk is significantly reduced. Besides, since Mech was also your graduation b Continue ReadingWell there you have it. You have 2 contrasting responses to your question. But I would tend to agree with Rajat below that in the current times, it would be better to stick to something mainstream than something like something exotic like OE. It does restrict your employment prospects, even if the institute will allow you to. And if you do opt for OE, you would not only need to do extremely well in your course but also learn other skills as mentioned so that you are acceptable to the non-core employers. With Mech, that risk is significantly reduced. Besides, since Mech was also your graduation branch, you should be really comfortable in most aspects of that. So prudence would dictate that you opt for IIT-G. Though it is no match for IIT-M in reputation and/or credibility, and is also miles away from the standard of what an IIT should be (as established by the 6 original ones) it is one of the better perceived IITs among its peers. ",0.9931,Positive,5,0.022988505747126436,1,5
3,3,Indian-Institute-of-Technology-Madras-IITM,Can anyone share their MS interview experience of ICS(EE6) specialization at IIT Madras?,1,1,1/1,No,Requested,2020-07-25,https://www.quora.com/Can-anyone-share-their-MS-interview-experience-of-ICS-EE6-specialization-at-IIT-Madras,"I attended MS program interview of ICS, IIT Madras during 2020. Due to COVID-19 they conducted online written and interviews through google meet. Students with GATE score more than 600 were shortlisted for the process. Every student goes through both written and interview. Some of the written questions  Some of the interview questions  I will update the answer f I get to know some more questions. For similar type of questions asked in TI sponsored MS you can visit Arkadeep Barua's answer to What was someone's experience with the IIT Madras TI sponsored analog electronics MS program exam and interview? For preparation you can watch analog circuit and basic electrical circuits by Prof Nagendra Krishnapura and solve the assignment questions. PS: I will write about my other interview experiences at IIT Bombay(RA), IISc, IIT Gandhinagar soon. ",0.2023,Positive,4,0.011494252873563218,0,4
4,4,Indian-Institute-of-Technology-Madras-IITM,"What are the top 5 branches in Madras Institute of Technology, Chrompet?",1,1,1/1,No,Followed,2020-07-24,https://www.quora.com/What-are-the-top-5-branches-in-Madras-Institute-of-Technology-Chrompet,Computer scienceInformation technologyElectronics and communicationElectronics and instrumentationMechanical based on placements,0.0,Neutral,3,0.011494252873563218,0,3
5,5,Indian-Institute-of-Technology-Madras-IITM,How should I start my ML journey? I have joined IIT Madras for my MTech this year. From where should I learn linear algebra and probability? I am a complete beginner.,2,1,2/1,No,Followed,2020-07-23,https://www.quora.com/How-should-I-start-my-ML-journey-I-have-joined-IIT-Madras-for-my-MTech-this-year-From-where-should-I-learn-linear-algebra-and-probability-I-am-a-complete-beginner,"Linear algebra by Gilbert Strang and Probabilistic Systems by John Tsitsiklis. Watching videos on YouTube and doing a few problems can get you started with these subjects. Courses are quite long so it may take a month or two. Gilbert strang is pretty good at teaching the intuition part of linear algebra, that under courses with rigorous proofs don't address. Both profs have their own books written specifically for the courses, that should also come in handy. Just make sure that it aligns with what you want to learn. Don't spend time on it if it's not. My answer pertains to the second half of the question. I am not into ML, so can't say anything about the first half. ",0.5994,Positive,4,0.022988505747126436,1,5
6,6,Indian-Institute-of-Technology-Madras-IITM,"What are the pros and cons of doing B.Sc in Programming and Data Science online degree from IITM? Not talking about just the degree, if I work hard, do projects outside the class will it be fruitful? I know only a bit of Python Basics.",1,1,1/1,No,Followed,2020-07-22,https://www.quora.com/What-are-the-pros-and-cons-of-doing-B-Sc-in-Programming-and-Data-Science-online-degree-from-IITM-Not-talking-about-just-the-degree-if-I-work-hard-do-projects-outside-the-class-will-it-be-fruitful-I-know-only-a-bit,"There is good brand value, they seems to teach data-science and programming, both of which are good skills to have, but data science itself is transitioning into more of IT based role, with more focus on data engineering. So a data science degree is not general purpose like a computer science engineering degree. The important question is, would one be eligible for any masters program in computer science or mathematics post this Bsc. ",0.4828,Positive,4,0.011494252873563218,0,4
7,7,Indian-Institute-of-Technology-Madras-IITM,Do companies offers internships to all students of IITM Mtech Vlsi and ICS branch?,1,1,1/1,No,Followed,2020-07-22,https://www.quora.com/Do-companies-offers-internships-to-all-students-of-IITM-Mtech-Vlsi-and-ICS-branch,"As far as I know if you are an MTech Student in IIT Madras then you have to do oroject in 2nd year.. you are not allowed for internship.. you have to appear for direct placement.. Internship are for Company sponsored MS programme.. now coming to placement, see I don't have exact statistics of IITM but given the fact that IIT Madras VLSI is among top 3–4 VLSI programme in the country, you don't need to worry about placement at all.. you will get enough opportunities & if you can use them, you will surely be placed in a top notch semiconductor company.. ",0.9295,Positive,5,0.011494252873563218,0,5
8,8,Indian-Institute-of-Technology-Madras-IITM,I have been selected for an MTech in VLSI & embedded systems in IIT Patna and an MS in microelectronics at IIT Madras. Which one will be better because I need good learning and placement?,1,2,1/2,No,Followed,2020-07-21,https://www.quora.com/I-have-been-selected-for-an-MTech-in-VLSI-embedded-systems-in-IIT-Patna-and-an-MS-in-microelectronics-at-IIT-Madras-Which-one-will-be-better-because-I-need-good-learning-and-placement,"This is a no-brainer and I am surprised that you are even asking this question. IIT, Patna is as yet only a namesake IIT, unlike IIT-M, which is one of the original established IITs. Go for IIT-M without a doubt in mind. The learning you will get there will be top quality and placements will automatically follow. ",0.7278,Positive,5,0.011494252873563218,0,5
9,9,Indian-Institute-of-Technology-Madras-IITM,I have been selected for an MTech in VLSI & embedded systems in IIT Patna and an MS in microelectronics at IIT Madras. Which one will be better because I need good learning and placement?,1,2,1/2,No,Followed,2020-07-21,https://www.quora.com/I-have-been-selected-for-an-MTech-in-VLSI-embedded-systems-in-IIT-Patna-and-an-MS-in-microelectronics-at-IIT-Madras-Which-one-will-be-better-because-I-need-good-learning-and-placement,You are asking about better option … I will say the best option… IIT Madras is the best option regarding knowledge and 100% placement whether M.Tech or M.S. in Microelectronics domain (i.e. EE3 and EE6). ,0.9062,Positive,5,0.011494252873563218,0,5
