,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score
0,"Webinar on Careers in Chemical Engineering for a Brighter Future by Amrita School of Engineering, Coimbatore [May 17, 4:00 PM]: Registration Open https://www.noticebard.com/webinar-careers-chemical-engineering-brighter-future/ …",NoticeBard,1261134313573289984,2020-05-15 03:20:25,[],noticebard,0,0,,0.3818,Positive,4
1,"Webinar on Careers in Chemical Engineering for a Brighter Future by Amrita School of Engineering, Coimbatore [May 17, 4:00 PM]: Registration Open https://www.noticebard.com/webinar-careers-chemical-engineering-brighter-future/ …",NoticeBard,1261134313573289984,2020-05-15 03:20:25,[],noticebard,0,0,,0.3818,Positive,4
2,"Amrita School of Engineering, Bengaluru conducted a PU Principals' Meet for principals of Davangere district on 09th February 2020. The talk was on Education 4.0.Over 75 principals of Davangere district attended the meet held at Hotel Pooja International. Here are a few glimpses pic.twitter.com/wAVgf4olyG","Amrita School of Engineering, Bengaluru",1227194978092253184,2020-02-11 11:37:37,[],VishwaAmrita,0,0,1.0,-0.4278,Negative,2
3,"Amrita School of Engineering, Bengaluru conducted a PU Principals' Meet for principals of Davangere district on 09th February 2020. The talk was on Education 4.0.Over 75 principals of Davangere district attended the meet held at Hotel Pooja International. Here are a few glimpses pic.twitter.com/wAVgf4olyG","Amrita School of Engineering, Bengaluru",1227194978092253184,2020-02-11 11:37:37,[],VishwaAmrita,0,0,1.0,-0.4278,Negative,2
4,"Amrita School of Engineering, #Bengaluru offers #Engineering degrees in a variety of subjects and we ensure that our students are successful in pursuing their dreams and passion!

Know more: https://bit.ly/2PxwPSQ 
#AmritaSchoolOfEngineering #Bangalore #EngineeringCollegepic.twitter.com/FJTTJJqp37","Amrita School of Engineering, Bengaluru",1252457667412422656,2020-04-21 04:42:32,"['Bengaluru', 'Engineering', 'AmritaSchoolOfEngineering', 'Bangalore', 'EngineeringCollegepic']",VishwaAmrita,0,0,1.0,0.908,Positive,5
5,"Amrita School of Engineering, #Bengaluru offers #Engineering degrees in a variety of subjects and we ensure that our students are successful in pursuing their dreams and passion!

Know more: https://bit.ly/2PxwPSQ 
#AmritaSchoolOfEngineering #Bangalore #EngineeringCollegepic.twitter.com/FJTTJJqp37","Amrita School of Engineering, Bengaluru",1252457667412422656,2020-04-21 04:42:32,"['Bengaluru', 'Engineering', 'AmritaSchoolOfEngineering', 'Bangalore', 'EngineeringCollegepic']",VishwaAmrita,0,0,1.0,0.908,Positive,5
6,"DANCE IS THE HIDDEN LANGUAGE OF THE SOUL,OF THE BODY
.
.
.
Pc : teammedia.amrita @ Amrita School of Engineering Coimbatore https://www.instagram.com/p/B9w0necH_rG/?igshid=e2735gmnxvwc …",Asheesh raju,1239243629971079168,2020-03-15 17:34:40,[],2001Asheesh,0,3,,0.0,Neutral,3
7,"DANCE IS THE HIDDEN LANGUAGE OF THE SOUL,OF THE BODY
.
.
.
Pc : teammedia.amrita @ Amrita School of Engineering Coimbatore https://www.instagram.com/p/B9w0necH_rG/?igshid=e2735gmnxvwc …",Asheesh raju,1239243629971079168,2020-03-15 17:34:40,[],2001Asheesh,0,3,,0.0,Neutral,3
8,"Webinar on Importance of Mathematics for Engineering Aspirants by Amrita School of Engineering, Coimbatore [May 21, 4:00 PM]: Registration Open https://www.noticebard.com/webinar-importance-mathematics-engineering-aspirants-coimbatore/ …",NoticeBard,1262236046449881088,2020-05-18 04:18:19,[],noticebard,0,0,,0.3612,Positive,4
9,"Webinar on Importance of Mathematics for Engineering Aspirants by Amrita School of Engineering, Coimbatore [May 21, 4:00 PM]: Registration Open https://www.noticebard.com/webinar-importance-mathematics-engineering-aspirants-coimbatore/ …",NoticeBard,1262236046449881088,2020-05-18 04:18:19,[],noticebard,0,0,,0.3612,Positive,4
10," @aravind12709534 help him
Amrita School of Engineering
Is this better??",G!R! Яamki,1249736959032840192,2020-04-13 16:31:24,[],giri_prasadh_r,0,0,,0.7532,Positive,5
11," @aravind12709534 help him
Amrita School of Engineering
Is this better??",G!R! Яamki,1249736959032840192,2020-04-13 16:31:24,[],giri_prasadh_r,0,0,,0.7532,Positive,5
12,"With a holistic approach, we at Amrita School of Engineering, Bengaluru aim at imparting global knowledge as well as instil virtues, right attitude and approach to help our students in leading a fulfilling and balanced life.

Admissions Open: http://bit.ly/35ChitG 
#ApplyNowpic.twitter.com/pcUW7FtovN","Amrita School of Engineering, Bengaluru",1241972170860818432,2020-03-23 06:16:54,['ApplyNowpic'],VishwaAmrita,1,0,1.0,0.743,Positive,5
13,"We at Amrita School of Engineering, Bengaluru try to lead our students into a world where they can fulfill all their dreams and aspirations!

Apply Now: https://bit.ly/2QmOY9e 
#AdmissionsOpen #ASE #EngineeringCollege #Bangalore #Bengaluru #MTech #Admissionspic.twitter.com/aMi6FBa0UO","Amrita School of Engineering, Bengaluru",1240179807964385280,2020-03-18 07:34:42,"['AdmissionsOpen', 'ASE', 'EngineeringCollege', 'Bangalore', 'Bengaluru', 'MTech', 'Admissionspic']",VishwaAmrita,0,1,1.0,0.7088,Positive,5
14,"With a holistic approach, we at Amrita School of Engineering, Bengaluru aim at imparting global knowledge as well as instil virtues, right attitude and approach to help our students in leading a fulfilling and balanced life.

Admissions Open: http://bit.ly/35ChitG 
#ApplyNowpic.twitter.com/pcUW7FtovN","Amrita School of Engineering, Bengaluru",1241972170860818432,2020-03-23 06:16:54,['ApplyNowpic'],VishwaAmrita,1,0,1.0,0.743,Positive,5
15,"We at Amrita School of Engineering, Bengaluru try to lead our students into a world where they can fulfill all their dreams and aspirations!

Apply Now: https://bit.ly/2QmOY9e 
#AdmissionsOpen #ASE #EngineeringCollege #Bangalore #Bengaluru #MTech #Admissionspic.twitter.com/aMi6FBa0UO","Amrita School of Engineering, Bengaluru",1240179807964385280,2020-03-18 07:34:42,"['AdmissionsOpen', 'ASE', 'EngineeringCollege', 'Bangalore', 'Bengaluru', 'MTech', 'Admissionspic']",VishwaAmrita,0,1,1.0,0.7088,Positive,5
16,"Webinar from Amrita School of Engineering at 4.00 PM on 29.4.20

Topic - Scope of Engineering Post Pandemic.

 Join Free
 http://www.bit.ly/35pZtPr 
#CBSE #ICSE #Engineering",PashSharma,1255404070438948864,2020-04-29 07:50:29,"['CBSE', 'ICSE', 'Engineering']",ThePashSharma,0,0,,0.6705,Positive,5
17,"A tribute to @urstrulyMahesh by Amrita school of engineering students banglore craze Ka baap
#Pokiri @urstrulyMahesh
#14YearsForSouthIndiaIHPokiri",BhanuPrakashDHFM 2,1255097285387726848,2020-04-28 11:31:26,"['Pokiri', '14YearsForSouthIndiaIHPokiri']",BhanuPrakashDH4,49,3,,-0.1531,Negative,3
18,"Webinar from Amrita School of Engineering at 4.00 PM on 29.4.20

Topic - Scope of Engineering Post Pandemic.

 Join Free
 http://www.bit.ly/35pZtPr 
#CBSE #ICSE #Engineering",PashSharma,1255404070438948864,2020-04-29 07:50:29,"['CBSE', 'ICSE', 'Engineering']",ThePashSharma,0,0,,0.6705,Positive,5
19,"A tribute to @urstrulyMahesh by Amrita school of engineering students banglore craze Ka baap
#Pokiri @urstrulyMahesh
#14YearsForSouthIndiaIHPokiri",BhanuPrakashDHFM 2,1255097285387726848,2020-04-28 11:31:26,"['Pokiri', '14YearsForSouthIndiaIHPokiri']",BhanuPrakashDH4,49,3,,-0.1531,Negative,3
20,"IIC of SKCET organized a webinar on ""IOT- Idea to Products"". Dr Shriram K Vasudevan, Assistant Professor, Amrita School of Engineering, Coimbatore was the resource person of the event. Students and faculty members attended the webinar.
@DrRPNishank
@mhrd_innovation
@abhayjerepic.twitter.com/QTOoVqn9cz",SKCETCOIMBATORE,1265897291602247680,2020-05-28 06:46:48,[],skcetofficial,0,0,,0.0,Neutral,3
21,"IIC of SKCET organized a webinar on ""IOT- Idea to Products"". Dr Shriram K Vasudevan, Assistant Professor, Amrita School of Engineering, Coimbatore was the resource person of the event. Students and faculty members attended the webinar.
@DrRPNishank
@mhrd_innovation
@abhayjerepic.twitter.com/QTOoVqn9cz",SKCETCOIMBATORE,1265897291602247680,2020-05-28 06:46:48,[],skcetofficial,0,0,,0.0,Neutral,3
22,@airtelindia I don't what happened but from 3 days internet connection near Amrita school of engineering banglore is very dull Please do rectify,ramana remella,1233787822865207296,2020-02-29 16:15:14,[],satyaremella,0,0,,-0.1586,Negative,3
23,"hey @airtelindia 
why is the network is down the whole day in my area (amrita school of engineering , bangalore ) please rectify the problem asap...",Dileep,1233229327409582080,2020-02-28 03:15:58,[],Dileep71886609,0,0,,-0.1027,Negative,3
24,"hey @airtelindia 
why is the network is down the whole day in my area (amrita school of engineering , bangalore ) please rectify the problem soon....",Rohit,1233062259946999808,2020-02-27 16:12:06,[],Ro__183,0,1,,-0.1027,Negative,3
