,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score
0,"@rsprasad @IndiaPostOffice 
Sir,
Regarding Urgent Delivery
Parcel no. CU336449488IN is to be delivered to Pratham Agarwal, New Boys Address, Alliance University, Anekal, Bengaluru  562106. Parcel still not delivered and roaming from one PO to another. Plz deliver it, most urgent",ranjeeta,1157270873314693120,2019-08-02 12:44:11,[],ranjeeta21,0,0,,-0.2824,Negative,2
1,"EduKhoj connected another student with School of Law, Alliance University,, #Bengaluru",EduKhoj,1156079145270439936,2019-07-30 05:48:41,['Bengaluru'],EduKhoj,0,0,,0.0,Neutral,3
2,"Bangalore Blockchain Summit happening at Alliance University. An interesting panel discussion on Blockchain applicability and challenges in the industry.
#blockchain #summit #allianceuniversity #DigitalTransformationpic.twitter.com/bcMQywnufs",WWCode Blockchain,1155059429055709184,2019-07-27 10:16:42,"['blockchain', 'summit', 'allianceuniversity', 'DigitalTransformationpic']",WWCodeBlock,0,1,,0.4588,Positive,4
3,"Alliance University in partnership with KPI Consulting is organizing a #Blockchain Summit on 27th July, 2019 at its Campus in Anekal -Bangalore",TotalBitcoinInternational,1154961017325203456,2019-07-27 03:45:39,['Blockchain'],bitcoin_total,0,0,,0.0,Neutral,3
4,"@rsprasad @IndiaPostOffice 
Sir,
Regarding Urgent Delivery
Parcel no. CU336449488IN is to be delivered to Pratham Agarwal, New Boys Address, Alliance University, Anekal, Bengaluru  562106. Parcel still not delivered and roaming from one PO to another. Plz deliver it, most urgent",ranjeeta,1157270873314693120,2019-08-02 12:44:11,[],ranjeeta21,0,0,,-0.2824,Negative,2
5,"EduKhoj connected another student with School of Law, Alliance University,, #Bengaluru",EduKhoj,1156079145270439936,2019-07-30 05:48:41,['Bengaluru'],EduKhoj,0,0,,0.0,Neutral,3
6,"Bangalore Blockchain Summit happening at Alliance University. An interesting panel discussion on Blockchain applicability and challenges in the industry.
#blockchain #summit #allianceuniversity #DigitalTransformationpic.twitter.com/bcMQywnufs",WWCode Blockchain,1155059429055709184,2019-07-27 10:16:42,"['blockchain', 'summit', 'allianceuniversity', 'DigitalTransformationpic']",WWCodeBlock,0,1,,0.4588,Positive,4
7,"Alliance University in partnership with KPI Consulting is organizing a #Blockchain Summit on 27th July, 2019 at its Campus in Anekal -Bangalore",TotalBitcoinInternational,1154961017325203456,2019-07-27 03:45:39,['Blockchain'],bitcoin_total,0,0,,0.0,Neutral,3
8,"On my way to our second @CircleU_eu  student seminar.
Looking forward to this enlightening time of exchanges with pears all around Europe to work on our European alliance university.
Thank you UiO and students representatives for welcoming us !
Cc @_HenryMaes_ @NaudaBasepic.twitter.com/K1MBNrUMzz",Youcef KADRI,1202917705046736896,2019-12-06 11:48:24,[],Youcef__KADRI,0,8,,0.8614,Positive,5
9,"On my way to our second @CircleU_eu  student seminar.
Looking forward to this enlightening time of exchanges with pears all around Europe to work on our European alliance university.
Thank you UiO and students representatives for welcoming us !
Cc @_HenryMaes_ @NaudaBasepic.twitter.com/K1MBNrUMzz",Youcef KADRI,1202917705046736896,2019-12-06 11:48:24,[],Youcef__KADRI,0,8,,0.8614,Positive,5
10,Alliance University V-C Ayyappa Dore murder: Bengaluru police make three more arrests https://www.thenewsminute.com/article/alliance-university-v-c-ayyappa-dore-murder-bengaluru-police-make-three-more-arrests-111633 …,The News Minute,1190838290712129536,2019-11-03 03:49:07,[],thenewsminute,0,1,,-0.8357,Negative,1
