,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score
0,"@IIITB_official Director, Prof Sadagopan welcomed Dr. Marjorie Vanbaelinghem,  Consul General, to explore new avenues of #collaboration in #academic #exchanges. #startup #digital #affairs
#studyinFrance
@IFInde @FranceinIndia @cfindia @karthikkittupic.twitter.com/v48DuqL3tW","Consulate General of France, Bangalore",1210499859700011008,2019-12-27 09:57:11,"['collaboration', 'academic', 'exchanges', 'startup', 'digital', 'affairs', 'studyinFrance']",BangaloreFrance,0,0,,0.34,Positive,4
1,"May the peace and blessings of Christmas be yours; And may the coming year be filled with happiness, Merry Christmas 
#Christmas #MerryChristmas #IIITB #IIITB10100 #IIITBangalorepic.twitter.com/YxBWXuLjRG",IIIT Bangalore,1209693257443110912,2019-12-25 04:32:02,"['Christmas', 'MerryChristmas', 'IIITB', 'IIITB10100', 'IIITBangalorepic']",IIITB_official,1,6,1.0,0.9337,Positive,5
2,"Wishing everyone Merry Christmas & Happy holidays. Its been a busy year for us & more busy now building interesting features. stayed tuned for interesting news. 
#christmas #agritech #happyholidays #iiitb #ccamp @RadioStud_io @IoTracX @shyampurkpic.twitter.com/pTGrcis1Aq",Agroblock,1209470538738913280,2019-12-24 13:47:01,"['christmas', 'agritech', 'happyholidays', 'iiitb', 'ccamp']",agroblock_io,0,1,,0.9442,Positive,5
3,Our Ph.D. student Mr. Shyam S.M. has been selected for the prestigious Prime Minister's doctoral fellowship offered jointly by SERB and FICCI. Shyam joined IIITB in August 2018 to pursue Ph.D. full time  under the supervision of Prof. Srinivas Vivek. #IIITB #IIITB10100pic.twitter.com/Vszzqr98s3,IIIT Bangalore,1209094761589592064,2019-12-23 12:53:49,"['IIITB', 'IIITB10100pic']",IIITB_official,5,12,1.0,0.0,Neutral,3
4,AgroBlock wishes Kisan Diwas to all the farmers who are the backbone of this country. Lets work together bringing change in this sector. #kisandiwas #farmersday #agritech #blockchaintraceability #iiitb #ccamp @RadioStud_io @IoTracX @shyampurkpic.twitter.com/rfkadiNoaV,Agroblock,1209072927921958912,2019-12-23 11:27:04,"['kisandiwas', 'farmersday', 'agritech', 'blockchaintraceability', 'iiitb', 'ccamp']",agroblock_io,0,4,,0.1531,Positive,3
5,Superb #Kohli #kohlidecadehttps://twitter.com/SeerviBharath/status/1208832913782894592 …,Harsh Dubey,1209069978479030272,2019-12-23 11:15:20,"['Kohli', 'kohlidecadehttps']",harsh_iiitb,0,0,,0.6249,Positive,5
6,"Love your work, Veena! You’re the best ... @AndyCoxall @EdHermanufc @cpstudent",Gerard Shanahan,1208283808434274304,2019-12-21 07:11:23,[],gas3040,0,2,,0.8655,Positive,5
7,"Our last #GLE for 2019, in my home City Bangalore, comes to an end after many inspiring stories and equally inspired students. Signing off for the year with a huge smile on my face, in anticipation of an equally exciting 2020.#GLELeaders @kingsbschool @IIITB_official @Deepakdjspic.twitter.com/3uaLHMqvGL",Veena,1208184116614578176,2019-12-21 00:35:15,"['GLE', 'GLELeaders']",veena_haran,0,8,,0.9246,Positive,5
8,But IIITB has 2000 students?,indian,1207827046862331904,2019-12-20 00:56:22,[],mkinthuk,0,0,,0.0,Neutral,3
9,"@IIITB_official Director, Prof Sadagopan welcomed Dr. Marjorie Vanbaelinghem,  Consul General, to explore new avenues of #collaboration in #academic #exchanges. #startup #digital #affairs
#studyinFrance
@IFInde @FranceinIndia @cfindia @karthikkittupic.twitter.com/v48DuqL3tW","Consulate General of France, Bangalore",1210499859700011008,2019-12-27 09:57:11,"['collaboration', 'academic', 'exchanges', 'startup', 'digital', 'affairs', 'studyinFrance']",BangaloreFrance,0,0,,0.34,Positive,4
10,"May the peace and blessings of Christmas be yours; And may the coming year be filled with happiness, Merry Christmas 
#Christmas #MerryChristmas #IIITB #IIITB10100 #IIITBangalorepic.twitter.com/YxBWXuLjRG",IIIT Bangalore,1209693257443110912,2019-12-25 04:32:02,"['Christmas', 'MerryChristmas', 'IIITB', 'IIITB10100', 'IIITBangalorepic']",IIITB_official,1,6,1.0,0.9337,Positive,5
11,"Wishing everyone Merry Christmas & Happy holidays. Its been a busy year for us & more busy now building interesting features. stayed tuned for interesting news. 
#christmas #agritech #happyholidays #iiitb #ccamp @RadioStud_io @IoTracX @shyampurkpic.twitter.com/pTGrcis1Aq",Agroblock,1209470538738913280,2019-12-24 13:47:01,"['christmas', 'agritech', 'happyholidays', 'iiitb', 'ccamp']",agroblock_io,0,1,,0.9442,Positive,5
