,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score
0,"Govt Job: National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Fellow posts 
http://bit.ly/2PHOxXe pic.twitter.com/ZCNRcKXGMr",Engineer Feed,1190895567943024640,2019-11-03 07:36:43,[],theengineerfeed,0,0,,0.0,Neutral,2
1,"Govt Job: National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Fellow posts 
http://bit.ly/2PHOxXe pic.twitter.com/ZCNRcKXGMr",Engineer Feed,1190895567943024640,2019-11-03 07:36:43,[],theengineerfeed,0,0,,0.0,Neutral,2
2,"Our champ in a hero.. @ National Institute of Technology, Karnataka https://www.instagram.com/p/B6Dv4TBAQFn/?igshid=xi7bh2rssyg7 …",Vinoth Srinivasan,1205878423895318528,2019-12-14 15:53:15,[],withluv_vino,0,0,,0.7717,Positive,5
3,"தீபங்கள் பேசும்.. @ National Institute of Technology, Karnataka https://www.instagram.com/p/B57uSssA1V8/?igshid=yujnza3930tx …",Vinoth Srinivasan,1204749034008637440,2019-12-11 13:05:27,[],withluv_vino,0,0,,0.0,Neutral,2
4,Research Associate (#ME / http://M.Tech .) In National Institute Of Technology Karnataka https://goo.gl/fb/nWXCnZ ,Sarkari-Job,1204301833189109760,2019-12-10 07:28:26,['ME'],sarkarijobind,0,0,,0.0,Neutral,2
5,"Our champ in a hero.. @ National Institute of Technology, Karnataka https://www.instagram.com/p/B6Dv4TBAQFn/?igshid=xi7bh2rssyg7 …",Vinoth Srinivasan,1205878423895318528,2019-12-14 15:53:15,[],withluv_vino,0,0,,0.7717,Positive,5
6,"தீபங்கள் பேசும்.. @ National Institute of Technology, Karnataka https://www.instagram.com/p/B57uSssA1V8/?igshid=yujnza3930tx …",Vinoth Srinivasan,1204749034008637440,2019-12-11 13:05:27,[],withluv_vino,0,0,,0.0,Neutral,2
7,Research Associate (#ME / http://M.Tech .) In National Institute Of Technology Karnataka https://goo.gl/fb/nWXCnZ ,Sarkari-Job,1204301833189109760,2019-12-10 07:28:26,['ME'],sarkarijobind,0,0,,0.0,Neutral,2
8,"at National Institute of Technology, Karnataka https://www.facebook.com/1apurba1/posts/1138168229703373 …",Apurba Mohaptra.,1153715911276335104,2019-07-23 17:18:02,[],ApurbaMohaptra,0,0,,0.0,Neutral,2
9,"#Workshop Department of applied mechanics and hydraulics of National Institute of Technology - Karnataka (NIT-K), Suratkal will host a 3-day workshop on coastal reservoirs as a sustainable strategy for water security on its Srinivasnagar premises from July 22. @surathkal_nitk",Jaideep Shenoy 🇮🇳,1152790966178201600,2019-07-21 04:02:38,['Workshop'],jaideepSTOI,1,1,,0.34,Positive,4
10,"at National Institute of Technology, Karnataka https://www.facebook.com/1apurba1/posts/1138168229703373 …",Apurba Mohaptra.,1153715911276335104,2019-07-23 17:18:02,[],ApurbaMohaptra,0,0,,0.0,Neutral,2
