,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score
0,"Thanks to Developer Student Club-Vellore Institute of Technology  (DSC-VIT) Powered by Google Developers Group for Providing Machine Learning Lectures.
 
@dscvit
@GoogleDevsIN
@gdg
@udemy",Mohammad Shahid Ansari,1211639431959998464,2019-12-30 13:25:26,[],Shahid_Ansari_,0,0,0.0,0.4404,Positive,4
1,Junior Research Fellow In Vellore Institute Of Technology University https://goo.gl/fb/hLSUcu  #governmentjob,Sarkari-Job,1211536334608904192,2019-12-30 06:35:46,['governmentjob'],sarkarijobind,0,0,0.0,0.0,Neutral,3
2,"VIT Notification 2020 – Opening for Various JRF Posts https://ift.tt/2Qqw5RR 
Vellore Institute of Technology has issued the latest notification for the recruitment of 2020. Applications are invited for the post of JRF. Other details of like Education Qualification Details, Re…",Govt Job Guide,1210822000945418240,2019-12-28 07:17:15,[],GovtJobGuide,0,0,0.0,0.3612,Positive,4
3,"Vallore Institute of Technology (VIT) Courses, Fees and Admission Process #rajasthanpalaces #royalrajasthan #rajasthantourism #rajasthaniculture #cultureofrajasthan #facebook #twitter #instagram #rajasthanpalaceshttps://www.e-rajasthan.com/vallore-institute-of-technology-vit-courses-fees-and-admission-process/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …",Rajasthan Travel and Tourism Guide,1210652629606354944,2019-12-27 20:04:14,"['rajasthanpalaces', 'royalrajasthan', 'rajasthantourism', 'rajasthaniculture', 'cultureofrajasthan', 'facebook', 'twitter', 'instagram', 'rajasthanpalaceshttps']",e_rajasthan,0,0,0.0,0.0,Neutral,3
4,"MITS5509 Intelligent Systems for Analytics Assignment Help!! Victorian Institute of Technology, Australia!!

http://www.expertsmind.com/library/mits5509-intelligent-systems-for-analytics-assignment-52422298.aspx …
#MITS5509 #IntelligentSystemsforAnalytics #AssignmentHelp #OnlineTutor #CourseHelp #AssessmentHelp #VictorianInstituteofTechnology #VIT #Australiapic.twitter.com/ZPnx9uu8Po",Expertsmind.com,1209090557391208448,2019-12-23 12:37:07,"['MITS5509', 'IntelligentSystemsforAnalytics', 'AssignmentHelp', 'OnlineTutor', 'CourseHelp', 'AssessmentHelp', 'VictorianInstituteofTechnology', 'VIT', 'Australiapic']",ExpertsMindInc,0,0,0.0,0.7825,Positive,5
5,"Thanks to Developer Student Club-Vellore Institute of Technology  (DSC-VIT) Powered by Google Developers Group for Providing Machine Learning Lectures.
 
@dscvit
@GoogleDevsIN
@gdg
@udemy",Mohammad Shahid Ansari,1211639431959998464,2019-12-30 13:25:26,[],Shahid_Ansari_,0,0,0.0,0.4404,Positive,4
6,Junior Research Fellow In Vellore Institute Of Technology University https://goo.gl/fb/hLSUcu  #governmentjob,Sarkari-Job,1211536334608904192,2019-12-30 06:35:46,['governmentjob'],sarkarijobind,0,0,0.0,0.0,Neutral,3
7,"VIT Notification 2020 – Opening for Various JRF Posts https://ift.tt/2Qqw5RR 
Vellore Institute of Technology has issued the latest notification for the recruitment of 2020. Applications are invited for the post of JRF. Other details of like Education Qualification Details, Re…",Govt Job Guide,1210822000945418240,2019-12-28 07:17:15,[],GovtJobGuide,0,0,0.0,0.3612,Positive,4
8,"Vallore Institute of Technology (VIT) Courses, Fees and Admission Process #rajasthanpalaces #royalrajasthan #rajasthantourism #rajasthaniculture #cultureofrajasthan #facebook #twitter #instagram #rajasthanpalaceshttps://www.e-rajasthan.com/vallore-institute-of-technology-vit-courses-fees-and-admission-process/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …",Rajasthan Travel and Tourism Guide,1210652629606354944,2019-12-27 20:04:14,"['rajasthanpalaces', 'royalrajasthan', 'rajasthantourism', 'rajasthaniculture', 'cultureofrajasthan', 'facebook', 'twitter', 'instagram', 'rajasthanpalaceshttps']",e_rajasthan,0,0,0.0,0.0,Neutral,3
9,"MITS5509 Intelligent Systems for Analytics Assignment Help!! Victorian Institute of Technology, Australia!!

http://www.expertsmind.com/library/mits5509-intelligent-systems-for-analytics-assignment-52422298.aspx …
#MITS5509 #IntelligentSystemsforAnalytics #AssignmentHelp #OnlineTutor #CourseHelp #AssessmentHelp #VictorianInstituteofTechnology #VIT #Australiapic.twitter.com/ZPnx9uu8Po",Expertsmind.com,1209090557391208448,2019-12-23 12:37:07,"['MITS5509', 'IntelligentSystemsforAnalytics', 'AssignmentHelp', 'OnlineTutor', 'CourseHelp', 'AssessmentHelp', 'VictorianInstituteofTechnology', 'VIT', 'Australiapic']",ExpertsMindInc,0,0,0.0,0.7825,Positive,5
