,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score,retweets_n,likes_n,engagement_score,clean_tweets,tweet_tokens,pos,nouns,irrelevance,engagement,sentiment_score
0,"webinar on careers in chemical engineering for a brighter future by amrita school of engineering, coimbatore [may 17, 4:00 pm]: registration open https://www.noticebard.com/webinar-careers-chemical-engineering-brighter-future/ …",NoticeBard,1261134313573289984,2020-05-15 03:20:25,[],noticebard,0.0,0.0,,0.3818,Positive,4,0.0,0.0,0.0,Webinar on Careers in Chemical Engineering for a Brighter Future by Amrita School of Engineering Coimbatore [May 17 4:00 PM] Registration Open …,"['webinar', 'careers', 'chemical', 'engineering', 'brighter', 'future', 'amrita', 'school', 'engineering', 'coimbatore', 'may', '17', '4', '00', 'pm', 'registration', 'open']","[('webinar', 'NN'), ('careers', 'NNS'), ('chemical', 'VBP'), ('engineering', 'NN'), ('brighter', 'NN'), ('future', 'NN'), ('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('coimbatore', 'NN'), ('may', 'MD'), ('17', 'CD'), ('4', 'CD'), ('00', 'CD'), ('pm', 'NN'), ('registration', 'NN'), ('open', 'JJ')]","['webinar', 'careers', 'engineering', 'brighter', 'future', 'school', 'engineering', 'coimbatore', 'pm', 'registration']",0,0,4
1,"webinar on careers in chemical engineering for a brighter future by amrita school of engineering, coimbatore [may 17, 4:00 pm]: registration open https://www.noticebard.com/webinar-careers-chemical-engineering-brighter-future/ …",NoticeBard,1261134313573289984,2020-05-15 03:20:25,[],noticebard,0.0,0.0,,0.3818,Positive,4,0.0,0.0,0.0,Webinar on Careers in Chemical Engineering for a Brighter Future by Amrita School of Engineering Coimbatore [May 17 4:00 PM] Registration Open …,"['webinar', 'careers', 'chemical', 'engineering', 'brighter', 'future', 'amrita', 'school', 'engineering', 'coimbatore', 'may', '17', '4', '00', 'pm', 'registration', 'open']","[('webinar', 'NN'), ('careers', 'NNS'), ('chemical', 'VBP'), ('engineering', 'NN'), ('brighter', 'NN'), ('future', 'NN'), ('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('coimbatore', 'NN'), ('may', 'MD'), ('17', 'CD'), ('4', 'CD'), ('00', 'CD'), ('pm', 'NN'), ('registration', 'NN'), ('open', 'JJ')]","['webinar', 'careers', 'engineering', 'brighter', 'future', 'school', 'engineering', 'coimbatore', 'pm', 'registration']",0,0,4
2,"amrita school of engineering, bengaluru conducted a pu principals' meet for principals of davangere district on 09th february 2020. the talk was on education 4.0.over 75 principals of davangere district attended the meet held at hotel pooja international. here are a few glimpses pic.twitter.com/wavgf4olyg","Amrita School of Engineering, Bengaluru",1227194978092253184,2020-02-11 11:37:37,[],VishwaAmrita,0.0,0.0,1.0,-0.4278,Negative,2,0.0,0.0,0.0,Amrita School of Engineering Bengaluru conducted a PU Principals Meet for principals of Davangere district on 09th February 2020 The talk was on Education 4.0.Over 75 principals of Davangere district attended the meet held at Hotel Pooja International Here are a few glimpses pic.twitter.com/wAVgf4olyG,"['amrita', 'school', 'engineering', 'bengaluru', 'conducted', 'pu', 'principals', 'meet', 'principals', 'davangere', 'district', '09th', 'february', '2020', 'talk', 'education', '4', '0', '75', 'principals', 'davangere', 'district', 'attended', 'meet', 'held', 'hotel', 'pooja', 'international', 'glimpses', 'pic', 'twitter', 'com', 'wavgf4olyg']","[('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('bengaluru', 'NN'), ('conducted', 'VBD'), ('pu', 'JJ'), ('principals', 'NNS'), ('meet', 'VBP'), ('principals', 'NNS'), ('davangere', 'RB'), ('district', 'NN'), ('09th', 'CD'), ('february', 'JJ'), ('2020', 'CD'), ('talk', 'NN'), ('education', 'NN'), ('4', 'CD'), ('0', 'CD'), ('75', 'CD'), ('principals', 'NNS'), ('davangere', 'RB'), ('district', 'NN'), ('attended', 'VBD'), ('meet', 'JJ'), ('held', 'JJ'), ('hotel', 'NN'), ('pooja', 'JJ'), ('international', 'JJ'), ('glimpses', 'NNS'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('wavgf4olyg', 'NN')]","['school', 'engineering', 'bengaluru', 'principals', 'principals', 'district', 'talk', 'education', 'principals', 'district', 'hotel', 'glimpses', 'twitter', 'com', 'wavgf4olyg']",0,0,3
3,"amrita school of engineering, bengaluru conducted a pu principals' meet for principals of davangere district on 09th february 2020. the talk was on education 4.0.over 75 principals of davangere district attended the meet held at hotel pooja international. here are a few glimpses pic.twitter.com/wavgf4olyg","Amrita School of Engineering, Bengaluru",1227194978092253184,2020-02-11 11:37:37,[],VishwaAmrita,0.0,0.0,1.0,-0.4278,Negative,2,0.0,0.0,0.0,Amrita School of Engineering Bengaluru conducted a PU Principals Meet for principals of Davangere district on 09th February 2020 The talk was on Education 4.0.Over 75 principals of Davangere district attended the meet held at Hotel Pooja International Here are a few glimpses pic.twitter.com/wAVgf4olyG,"['amrita', 'school', 'engineering', 'bengaluru', 'conducted', 'pu', 'principals', 'meet', 'principals', 'davangere', 'district', '09th', 'february', '2020', 'talk', 'education', '4', '0', '75', 'principals', 'davangere', 'district', 'attended', 'meet', 'held', 'hotel', 'pooja', 'international', 'glimpses', 'pic', 'twitter', 'com', 'wavgf4olyg']","[('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('bengaluru', 'NN'), ('conducted', 'VBD'), ('pu', 'JJ'), ('principals', 'NNS'), ('meet', 'VBP'), ('principals', 'NNS'), ('davangere', 'RB'), ('district', 'NN'), ('09th', 'CD'), ('february', 'JJ'), ('2020', 'CD'), ('talk', 'NN'), ('education', 'NN'), ('4', 'CD'), ('0', 'CD'), ('75', 'CD'), ('principals', 'NNS'), ('davangere', 'RB'), ('district', 'NN'), ('attended', 'VBD'), ('meet', 'JJ'), ('held', 'JJ'), ('hotel', 'NN'), ('pooja', 'JJ'), ('international', 'JJ'), ('glimpses', 'NNS'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('wavgf4olyg', 'NN')]","['school', 'engineering', 'bengaluru', 'principals', 'principals', 'district', 'talk', 'education', 'principals', 'district', 'hotel', 'glimpses', 'twitter', 'com', 'wavgf4olyg']",0,0,3
4,"amrita school of engineering, #bengaluru offers #engineering degrees in a variety of subjects and we ensure that our students are successful in pursuing their dreams and passion!

know more: https://bit.ly/2pxwpsq 
#amritaschoolofengineering #bangalore #engineeringcollegepic.twitter.com/fjttjjqp37","Amrita School of Engineering, Bengaluru",1252457667412422656,2020-04-21 04:42:32,"['Bengaluru', 'Engineering', 'AmritaSchoolOfEngineering', 'Bangalore', 'EngineeringCollegepic']",VishwaAmrita,0.0,0.0,1.0,0.9079999999999999,Positive,5,0.0,0.0,0.0,Amrita School of Engineering #Bengaluru offers #Engineering degrees in a variety of subjects and we ensure that our students are successful in pursuing their dreams and passion! Know more #AmritaSchoolOfEngineering #Bangalore #EngineeringCollegepic.twitter.com/FJTTJJqp37,"['amrita', 'school', 'engineering', 'bengaluru', 'offers', 'engineering', 'degrees', 'variety', 'subjects', 'ensure', 'students', 'successful', 'pursuing', 'dreams', 'passion', 'know', 'amritaschoolofengineering', 'bangalore', 'engineeringcollegepic', 'twitter', 'com', 'fjttjjqp37']","[('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('bengaluru', 'NN'), ('offers', 'NNS'), ('engineering', 'NN'), ('degrees', 'NNS'), ('variety', 'NN'), ('subjects', 'VBZ'), ('ensure', 'VB'), ('students', 'NNS'), ('successful', 'JJ'), ('pursuing', 'VBG'), ('dreams', 'JJ'), ('passion', 'NN'), ('know', 'VBP'), ('amritaschoolofengineering', 'VBG'), ('bangalore', 'NN'), ('engineeringcollegepic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('fjttjjqp37', 'NN')]","['school', 'engineering', 'bengaluru', 'offers', 'engineering', 'degrees', 'variety', 'students', 'passion', 'bangalore', 'engineeringcollegepic', 'twitter', 'com', 'fjttjjqp37']",0,0,3
5,"amrita school of engineering, #bengaluru offers #engineering degrees in a variety of subjects and we ensure that our students are successful in pursuing their dreams and passion!

know more: https://bit.ly/2pxwpsq 
#amritaschoolofengineering #bangalore #engineeringcollegepic.twitter.com/fjttjjqp37","Amrita School of Engineering, Bengaluru",1252457667412422656,2020-04-21 04:42:32,"['Bengaluru', 'Engineering', 'AmritaSchoolOfEngineering', 'Bangalore', 'EngineeringCollegepic']",VishwaAmrita,0.0,0.0,1.0,0.9079999999999999,Positive,5,0.0,0.0,0.0,Amrita School of Engineering #Bengaluru offers #Engineering degrees in a variety of subjects and we ensure that our students are successful in pursuing their dreams and passion! Know more #AmritaSchoolOfEngineering #Bangalore #EngineeringCollegepic.twitter.com/FJTTJJqp37,"['amrita', 'school', 'engineering', 'bengaluru', 'offers', 'engineering', 'degrees', 'variety', 'subjects', 'ensure', 'students', 'successful', 'pursuing', 'dreams', 'passion', 'know', 'amritaschoolofengineering', 'bangalore', 'engineeringcollegepic', 'twitter', 'com', 'fjttjjqp37']","[('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('bengaluru', 'NN'), ('offers', 'NNS'), ('engineering', 'NN'), ('degrees', 'NNS'), ('variety', 'NN'), ('subjects', 'VBZ'), ('ensure', 'VB'), ('students', 'NNS'), ('successful', 'JJ'), ('pursuing', 'VBG'), ('dreams', 'JJ'), ('passion', 'NN'), ('know', 'VBP'), ('amritaschoolofengineering', 'VBG'), ('bangalore', 'NN'), ('engineeringcollegepic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('fjttjjqp37', 'NN')]","['school', 'engineering', 'bengaluru', 'offers', 'engineering', 'degrees', 'variety', 'students', 'passion', 'bangalore', 'engineeringcollegepic', 'twitter', 'com', 'fjttjjqp37']",0,0,3
6,"dance is the hidden language of the soul,of the body
.
.
.
pc : teammedia.amrita @ amrita school of engineering coimbatore https://www.instagram.com/p/b9w0nech_rg/?igshid=e2735gmnxvwc …",Asheesh raju,1239243629971079168,2020-03-15 17:34:40,[],2001Asheesh,0.0,3.0,,0.0,Neutral,3,0.0,0.0023584905660377358,0.09433962264150943,"DANCE IS THE HIDDEN LANGUAGE OF THE SOUL,OF THE BODY . . . Pc teammedia.amrita Amrita School of Engineering Coimbatore …","['dance', 'hidden', 'language', 'soul', 'body', 'pc', 'teammedia', 'amrita', 'amrita', 'school', 'engineering', 'coimbatore']","[('dance', 'NN'), ('hidden', 'JJ'), ('language', 'NN'), ('soul', 'NN'), ('body', 'NN'), ('pc', 'NN'), ('teammedia', 'NN'), ('amrita', 'NN'), ('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('coimbatore', 'NN')]","['dance', 'language', 'soul', 'body', 'pc', 'teammedia', 'amrita', 'school', 'engineering', 'coimbatore']",0,1,3
7,"dance is the hidden language of the soul,of the body
.
.
.
pc : teammedia.amrita @ amrita school of engineering coimbatore https://www.instagram.com/p/b9w0nech_rg/?igshid=e2735gmnxvwc …",Asheesh raju,1239243629971079168,2020-03-15 17:34:40,[],2001Asheesh,0.0,3.0,,0.0,Neutral,3,0.0,0.0023584905660377358,0.09433962264150943,"DANCE IS THE HIDDEN LANGUAGE OF THE SOUL,OF THE BODY . . . Pc teammedia.amrita Amrita School of Engineering Coimbatore …","['dance', 'hidden', 'language', 'soul', 'body', 'pc', 'teammedia', 'amrita', 'amrita', 'school', 'engineering', 'coimbatore']","[('dance', 'NN'), ('hidden', 'JJ'), ('language', 'NN'), ('soul', 'NN'), ('body', 'NN'), ('pc', 'NN'), ('teammedia', 'NN'), ('amrita', 'NN'), ('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('coimbatore', 'NN')]","['dance', 'language', 'soul', 'body', 'pc', 'teammedia', 'amrita', 'school', 'engineering', 'coimbatore']",0,1,3
8,"webinar on importance of mathematics for engineering aspirants by amrita school of engineering, coimbatore [may 21, 4:00 pm]: registration open https://www.noticebard.com/webinar-importance-mathematics-engineering-aspirants-coimbatore/ …",NoticeBard,1262236046449881088,2020-05-18 04:18:19,[],noticebard,0.0,0.0,,0.3612,Positive,4,0.0,0.0,0.0,Webinar on Importance of Mathematics for Engineering Aspirants by Amrita School of Engineering Coimbatore [May 21 4:00 PM] Registration Open …,"['webinar', 'importance', 'mathematics', 'engineering', 'aspirants', 'amrita', 'school', 'engineering', 'coimbatore', 'may', '21', '4', '00', 'pm', 'registration', 'open']","[('webinar', 'NN'), ('importance', 'NN'), ('mathematics', 'NNS'), ('engineering', 'NN'), ('aspirants', 'NNS'), ('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('coimbatore', 'NN'), ('may', 'MD'), ('21', 'CD'), ('4', 'CD'), ('00', 'CD'), ('pm', 'NN'), ('registration', 'NN'), ('open', 'JJ')]","['webinar', 'importance', 'mathematics', 'engineering', 'aspirants', 'school', 'engineering', 'coimbatore', 'pm', 'registration']",0,0,4
9,"webinar on importance of mathematics for engineering aspirants by amrita school of engineering, coimbatore [may 21, 4:00 pm]: registration open https://www.noticebard.com/webinar-importance-mathematics-engineering-aspirants-coimbatore/ …",NoticeBard,1262236046449881088,2020-05-18 04:18:19,[],noticebard,0.0,0.0,,0.3612,Positive,4,0.0,0.0,0.0,Webinar on Importance of Mathematics for Engineering Aspirants by Amrita School of Engineering Coimbatore [May 21 4:00 PM] Registration Open …,"['webinar', 'importance', 'mathematics', 'engineering', 'aspirants', 'amrita', 'school', 'engineering', 'coimbatore', 'may', '21', '4', '00', 'pm', 'registration', 'open']","[('webinar', 'NN'), ('importance', 'NN'), ('mathematics', 'NNS'), ('engineering', 'NN'), ('aspirants', 'NNS'), ('amrita', 'JJ'), ('school', 'NN'), ('engineering', 'NN'), ('coimbatore', 'NN'), ('may', 'MD'), ('21', 'CD'), ('4', 'CD'), ('00', 'CD'), ('pm', 'NN'), ('registration', 'NN'), ('open', 'JJ')]","['webinar', 'importance', 'mathematics', 'engineering', 'aspirants', 'school', 'engineering', 'coimbatore', 'pm', 'registration']",0,0,4
