,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score,retweets_n,likes_n,engagement_score,clean_tweets,tweet_tokens,pos,nouns,irrelevance,engagement,sentiment_score
0,"@rsprasad @indiapostoffice 
sir,
regarding urgent delivery
parcel no. cu336449488in is to be delivered to pratham agarwal, new boys address, alliance university, anekal, bengaluru  562106. parcel still not delivered and roaming from one po to another. plz deliver it, most urgent",ranjeeta,1157270873314693120,2019-08-02 12:44:11,[],ranjeeta21,0.0,0.0,,-0.2824,Negative,2,0.0,0.0,0.0,"@rsprasad @IndiaPostOffice Sir, Regarding Urgent Delivery Parcel no CU336449488IN is to be delivered to Pratham Agarwal New Boys Address Alliance University Anekal Bengaluru 562106 Parcel still not delivered and roaming from one PO to another Plz deliver it most urgent","['rsprasad', 'indiapostoffice', 'sir', 'regarding', 'urgent', 'delivery', 'parcel', 'cu336449488in', 'delivered', 'pratham', 'agarwal', 'new', 'boys', 'address', 'alliance', 'university', 'anekal', 'bengaluru', '562106', 'parcel', 'still', 'delivered', 'roaming', 'one', 'po', 'another', 'plz', 'deliver', 'urgent']","[('rsprasad', 'JJ'), ('indiapostoffice', 'NN'), ('sir', 'NN'), ('regarding', 'VBG'), ('urgent', 'JJ'), ('delivery', 'NN'), ('parcel', 'NN'), ('cu336449488in', 'NN'), ('delivered', 'VBN'), ('pratham', 'NN'), ('agarwal', 'NN'), ('new', 'JJ'), ('boys', 'NNS'), ('address', 'JJ'), ('alliance', 'NN'), ('university', 'NN'), ('anekal', 'VBP'), ('bengaluru', '$'), ('562106', 'CD'), ('parcel', 'NN'), ('still', 'RB'), ('delivered', 'VBD'), ('roaming', 'VBG'), ('one', 'CD'), ('po', 'NN'), ('another', 'DT'), ('plz', 'NN'), ('deliver', 'NN'), ('urgent', 'NN')]","['indiapostoffice', 'sir', 'delivery', 'parcel', 'cu336449488in', 'pratham', 'agarwal', 'boys', 'alliance', 'university', 'parcel', 'po', 'plz', 'deliver', 'urgent']",0,0,2
1,"edukhoj connected another student with school of law, alliance university,, #bengaluru",EduKhoj,1156079145270439936,2019-07-30 05:48:41,['Bengaluru'],EduKhoj,0.0,0.0,,0.0,Neutral,3,0.0,0.0,0.0,"EduKhoj connected another student with School of Law Alliance University, #Bengaluru","['edukhoj', 'connected', 'another', 'student', 'school', 'law', 'alliance', 'university', 'bengaluru']","[('edukhoj', 'RB'), ('connected', 'VBN'), ('another', 'DT'), ('student', 'NN'), ('school', 'NN'), ('law', 'NN'), ('alliance', 'NN'), ('university', 'NN'), ('bengaluru', 'NN')]","['student', 'school', 'law', 'alliance', 'university', 'bengaluru']",0,0,3
2,"bangalore blockchain summit happening at alliance university. an interesting panel discussion on blockchain applicability and challenges in the industry.
#blockchain #summit #allianceuniversity #digitaltransformationpic.twitter.com/bcmqywnufs",WWCode Blockchain,1155059429055709184,2019-07-27 10:16:42,"['blockchain', 'summit', 'allianceuniversity', 'DigitalTransformationpic']",WWCodeBlock,0.0,1.0,,0.4588,Positive,4,0.0,0.008403361344537815,0.3361344537815126,Bangalore Blockchain Summit happening at Alliance University An interesting panel discussion on Blockchain applicability and challenges in the industry. #blockchain #summit #allianceuniversity #DigitalTransformationpic.twitter.com/bcMQywnufs,"['bangalore', 'blockchain', 'summit', 'happening', 'alliance', 'university', 'interesting', 'panel', 'discussion', 'blockchain', 'applicability', 'challenges', 'industry', 'blockchain', 'summit', 'allianceuniversity', 'digitaltransformationpic', 'twitter', 'com', 'bcmqywnufs']","[('bangalore', 'RB'), ('blockchain', 'JJ'), ('summit', 'NN'), ('happening', 'VBG'), ('alliance', 'NN'), ('university', 'NN'), ('interesting', 'JJ'), ('panel', 'NN'), ('discussion', 'NN'), ('blockchain', 'VBP'), ('applicability', 'NN'), ('challenges', 'NNS'), ('industry', 'NN'), ('blockchain', 'VBP'), ('summit', 'NN'), ('allianceuniversity', 'NN'), ('digitaltransformationpic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('bcmqywnufs', 'NN')]","['summit', 'alliance', 'university', 'panel', 'discussion', 'applicability', 'challenges', 'industry', 'summit', 'allianceuniversity', 'twitter', 'com', 'bcmqywnufs']",0,1,5
3,"alliance university in partnership with kpi consulting is organizing a #blockchain summit on 27th july, 2019 at its campus in anekal -bangalore",TotalBitcoinInternational,1154961017325203456,2019-07-27 03:45:39,['Blockchain'],bitcoin_total,0.0,0.0,,0.0,Neutral,3,0.0,0.0,0.0,Alliance University in partnership with KPI Consulting is organizing a #Blockchain Summit on 27th July 2019 at its Campus in Anekal -Bangalore,"['alliance', 'university', 'partnership', 'kpi', 'consulting', 'organizing', 'blockchain', 'summit', '27th', 'july', '2019', 'campus', 'anekal', 'bangalore']","[('alliance', 'NN'), ('university', 'NN'), ('partnership', 'NN'), ('kpi', 'NN'), ('consulting', 'VBG'), ('organizing', 'VBG'), ('blockchain', 'JJ'), ('summit', 'NN'), ('27th', 'CD'), ('july', 'NN'), ('2019', 'CD'), ('campus', 'NN'), ('anekal', 'NN'), ('bangalore', 'NN')]","['alliance', 'university', 'partnership', 'kpi', 'summit', 'july', 'campus', 'anekal', 'bangalore']",0,0,3
4,"@rsprasad @indiapostoffice 
sir,
regarding urgent delivery
parcel no. cu336449488in is to be delivered to pratham agarwal, new boys address, alliance university, anekal, bengaluru  562106. parcel still not delivered and roaming from one po to another. plz deliver it, most urgent",ranjeeta,1157270873314693120,2019-08-02 12:44:11,[],ranjeeta21,0.0,0.0,,-0.2824,Negative,2,0.0,0.0,0.0,"@rsprasad @IndiaPostOffice Sir, Regarding Urgent Delivery Parcel no CU336449488IN is to be delivered to Pratham Agarwal New Boys Address Alliance University Anekal Bengaluru 562106 Parcel still not delivered and roaming from one PO to another Plz deliver it most urgent","['rsprasad', 'indiapostoffice', 'sir', 'regarding', 'urgent', 'delivery', 'parcel', 'cu336449488in', 'delivered', 'pratham', 'agarwal', 'new', 'boys', 'address', 'alliance', 'university', 'anekal', 'bengaluru', '562106', 'parcel', 'still', 'delivered', 'roaming', 'one', 'po', 'another', 'plz', 'deliver', 'urgent']","[('rsprasad', 'JJ'), ('indiapostoffice', 'NN'), ('sir', 'NN'), ('regarding', 'VBG'), ('urgent', 'JJ'), ('delivery', 'NN'), ('parcel', 'NN'), ('cu336449488in', 'NN'), ('delivered', 'VBN'), ('pratham', 'NN'), ('agarwal', 'NN'), ('new', 'JJ'), ('boys', 'NNS'), ('address', 'JJ'), ('alliance', 'NN'), ('university', 'NN'), ('anekal', 'VBP'), ('bengaluru', '$'), ('562106', 'CD'), ('parcel', 'NN'), ('still', 'RB'), ('delivered', 'VBD'), ('roaming', 'VBG'), ('one', 'CD'), ('po', 'NN'), ('another', 'DT'), ('plz', 'NN'), ('deliver', 'NN'), ('urgent', 'NN')]","['indiapostoffice', 'sir', 'delivery', 'parcel', 'cu336449488in', 'pratham', 'agarwal', 'boys', 'alliance', 'university', 'parcel', 'po', 'plz', 'deliver', 'urgent']",0,0,2
5,"edukhoj connected another student with school of law, alliance university,, #bengaluru",EduKhoj,1156079145270439936,2019-07-30 05:48:41,['Bengaluru'],EduKhoj,0.0,0.0,,0.0,Neutral,3,0.0,0.0,0.0,"EduKhoj connected another student with School of Law Alliance University, #Bengaluru","['edukhoj', 'connected', 'another', 'student', 'school', 'law', 'alliance', 'university', 'bengaluru']","[('edukhoj', 'RB'), ('connected', 'VBN'), ('another', 'DT'), ('student', 'NN'), ('school', 'NN'), ('law', 'NN'), ('alliance', 'NN'), ('university', 'NN'), ('bengaluru', 'NN')]","['student', 'school', 'law', 'alliance', 'university', 'bengaluru']",0,0,3
6,"bangalore blockchain summit happening at alliance university. an interesting panel discussion on blockchain applicability and challenges in the industry.
#blockchain #summit #allianceuniversity #digitaltransformationpic.twitter.com/bcmqywnufs",WWCode Blockchain,1155059429055709184,2019-07-27 10:16:42,"['blockchain', 'summit', 'allianceuniversity', 'DigitalTransformationpic']",WWCodeBlock,0.0,1.0,,0.4588,Positive,4,0.0,0.008403361344537815,0.3361344537815126,Bangalore Blockchain Summit happening at Alliance University An interesting panel discussion on Blockchain applicability and challenges in the industry. #blockchain #summit #allianceuniversity #DigitalTransformationpic.twitter.com/bcMQywnufs,"['bangalore', 'blockchain', 'summit', 'happening', 'alliance', 'university', 'interesting', 'panel', 'discussion', 'blockchain', 'applicability', 'challenges', 'industry', 'blockchain', 'summit', 'allianceuniversity', 'digitaltransformationpic', 'twitter', 'com', 'bcmqywnufs']","[('bangalore', 'RB'), ('blockchain', 'JJ'), ('summit', 'NN'), ('happening', 'VBG'), ('alliance', 'NN'), ('university', 'NN'), ('interesting', 'JJ'), ('panel', 'NN'), ('discussion', 'NN'), ('blockchain', 'VBP'), ('applicability', 'NN'), ('challenges', 'NNS'), ('industry', 'NN'), ('blockchain', 'VBP'), ('summit', 'NN'), ('allianceuniversity', 'NN'), ('digitaltransformationpic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('bcmqywnufs', 'NN')]","['summit', 'alliance', 'university', 'panel', 'discussion', 'applicability', 'challenges', 'industry', 'summit', 'allianceuniversity', 'twitter', 'com', 'bcmqywnufs']",0,1,5
7,"alliance university in partnership with kpi consulting is organizing a #blockchain summit on 27th july, 2019 at its campus in anekal -bangalore",TotalBitcoinInternational,1154961017325203456,2019-07-27 03:45:39,['Blockchain'],bitcoin_total,0.0,0.0,,0.0,Neutral,3,0.0,0.0,0.0,Alliance University in partnership with KPI Consulting is organizing a #Blockchain Summit on 27th July 2019 at its Campus in Anekal -Bangalore,"['alliance', 'university', 'partnership', 'kpi', 'consulting', 'organizing', 'blockchain', 'summit', '27th', 'july', '2019', 'campus', 'anekal', 'bangalore']","[('alliance', 'NN'), ('university', 'NN'), ('partnership', 'NN'), ('kpi', 'NN'), ('consulting', 'VBG'), ('organizing', 'VBG'), ('blockchain', 'JJ'), ('summit', 'NN'), ('27th', 'CD'), ('july', 'NN'), ('2019', 'CD'), ('campus', 'NN'), ('anekal', 'NN'), ('bangalore', 'NN')]","['alliance', 'university', 'partnership', 'kpi', 'summit', 'july', 'campus', 'anekal', 'bangalore']",0,0,3
8,"on my way to our second @circleu_eu  student seminar.
looking forward to this enlightening time of exchanges with pears all around europe to work on our european alliance university.
thank you uio and students representatives for welcoming us !
cc @_henrymaes_ @naudabasepic.twitter.com/k1mbnrumzz",Youcef KADRI,1202917705046736896,2019-12-06 11:48:24,[],Youcef__KADRI,0.0,8.0,,0.8614,Positive,5,0.0,0.06722689075630252,2.6890756302521006,On my way to our second @CircleU_eu student seminar. Looking forward to this enlightening time of exchanges with pears all around Europe to work on our European alliance university. Thank you UiO and students representatives for welcoming us ! Cc @_HenryMaes @NaudaBasepic.twitter.com/K1MBNrUMzz,"['way', 'second', 'circleu_eu', 'student', 'seminar', 'looking', 'forward', 'enlightening', 'time', 'exchanges', 'pears', 'around', 'europe', 'work', 'european', 'alliance', 'university', 'thank', 'uio', 'students', 'representatives', 'welcoming', 'us', 'cc', '_henrymaes', 'naudabasepic', 'twitter', 'com', 'k1mbnrumzz']","[('way', 'NN'), ('second', 'JJ'), ('circleu_eu', 'JJ'), ('student', 'NN'), ('seminar', 'NN'), ('looking', 'VBG'), ('forward', 'RB'), ('enlightening', 'VBG'), ('time', 'NN'), ('exchanges', 'NNS'), ('pears', 'VBP'), ('around', 'IN'), ('europe', 'NN'), ('work', 'NN'), ('european', 'JJ'), ('alliance', 'NN'), ('university', 'NN'), ('thank', 'NN'), ('uio', 'JJ'), ('students', 'NNS'), ('representatives', 'NNS'), ('welcoming', 'VBG'), ('us', 'PRP'), ('cc', 'JJ'), ('_henrymaes', 'JJ'), ('naudabasepic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('k1mbnrumzz', 'NN')]","['way', 'student', 'seminar', 'time', 'exchanges', 'europe', 'work', 'alliance', 'university', 'thank', 'students', 'representatives', 'naudabasepic', 'twitter', 'com', 'k1mbnrumzz']",0,1,5
9,"on my way to our second @circleu_eu  student seminar.
looking forward to this enlightening time of exchanges with pears all around europe to work on our european alliance university.
thank you uio and students representatives for welcoming us !
cc @_henrymaes_ @naudabasepic.twitter.com/k1mbnrumzz",Youcef KADRI,1202917705046736896,2019-12-06 11:48:24,[],Youcef__KADRI,0.0,8.0,,0.8614,Positive,5,0.0,0.06722689075630252,2.6890756302521006,On my way to our second @CircleU_eu student seminar. Looking forward to this enlightening time of exchanges with pears all around Europe to work on our European alliance university. Thank you UiO and students representatives for welcoming us ! Cc @_HenryMaes @NaudaBasepic.twitter.com/K1MBNrUMzz,"['way', 'second', 'circleu_eu', 'student', 'seminar', 'looking', 'forward', 'enlightening', 'time', 'exchanges', 'pears', 'around', 'europe', 'work', 'european', 'alliance', 'university', 'thank', 'uio', 'students', 'representatives', 'welcoming', 'us', 'cc', '_henrymaes', 'naudabasepic', 'twitter', 'com', 'k1mbnrumzz']","[('way', 'NN'), ('second', 'JJ'), ('circleu_eu', 'JJ'), ('student', 'NN'), ('seminar', 'NN'), ('looking', 'VBG'), ('forward', 'RB'), ('enlightening', 'VBG'), ('time', 'NN'), ('exchanges', 'NNS'), ('pears', 'VBP'), ('around', 'IN'), ('europe', 'NN'), ('work', 'NN'), ('european', 'JJ'), ('alliance', 'NN'), ('university', 'NN'), ('thank', 'NN'), ('uio', 'JJ'), ('students', 'NNS'), ('representatives', 'NNS'), ('welcoming', 'VBG'), ('us', 'PRP'), ('cc', 'JJ'), ('_henrymaes', 'JJ'), ('naudabasepic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('k1mbnrumzz', 'NN')]","['way', 'student', 'seminar', 'time', 'exchanges', 'europe', 'work', 'alliance', 'university', 'thank', 'students', 'representatives', 'naudabasepic', 'twitter', 'com', 'k1mbnrumzz']",0,1,5
