,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score,retweets_n,likes_n,engagement_score,clean_tweets,tweet_tokens,pos,nouns,irrelevance,engagement,sentiment_score
0,"thanks to developer student club-vellore institute of technology  (dsc-vit) powered by google developers group for providing machine learning lectures.
 
@dscvit
@googledevsin
@gdg
@udemy",Mohammad Shahid Ansari,1211639431959998464,2019-12-30 13:25:26,[],Shahid_Ansari_,0.0,0.0,0.0,0.4404,Positive,4,0.0,0.0,0.0,Thanks to Developer Student Club-Vellore Institute of Technology (DSC-VIT Powered by Google Developers Group for Providing Machine Learning Lectures. @dscvit @GoogleDevsIN @gdg @udemy,"['thanks', 'developer', 'student', 'club', 'vellore', 'institute', 'technology', 'dsc', 'vit', 'powered', 'google', 'developers', 'group', 'providing', 'machine', 'learning', 'lectures', 'dscvit', 'googledevsin', 'gdg', 'udemy']","[('thanks', 'NNS'), ('developer', 'VBP'), ('student', 'NN'), ('club', 'NN'), ('vellore', 'IN'), ('institute', 'JJ'), ('technology', 'NN'), ('dsc', 'NN'), ('vit', 'NN'), ('powered', 'VBD'), ('google', 'NN'), ('developers', 'NNS'), ('group', 'NN'), ('providing', 'VBG'), ('machine', 'NN'), ('learning', 'VBG'), ('lectures', 'NNS'), ('dscvit', 'VBP'), ('googledevsin', 'NN'), ('gdg', 'NN'), ('udemy', 'NN')]","['thanks', 'student', 'club', 'technology', 'dsc', 'vit', 'google', 'developers', 'group', 'machine', 'lectures', 'googledevsin', 'gdg', 'udemy']",0,0,4
1,junior research fellow in vellore institute of technology university https://goo.gl/fb/hlsucu  #governmentjob,Sarkari-Job,1211536334608904192,2019-12-30 06:35:46,['governmentjob'],sarkarijobind,0.0,0.0,0.0,0.0,Neutral,3,0.0,0.0,0.0,Junior Research Fellow In Vellore Institute Of Technology University #governmentjob,"['junior', 'research', 'fellow', 'vellore', 'institute', 'technology', 'university', 'governmentjob']","[('junior', 'JJ'), ('research', 'NN'), ('fellow', 'NN'), ('vellore', 'IN'), ('institute', 'NN'), ('technology', 'NN'), ('university', 'NN'), ('governmentjob', 'NN')]","['research', 'fellow', 'institute', 'technology', 'university', 'governmentjob']",0,0,3
2,"vit notification 2020 – opening for various jrf posts https://ift.tt/2qqw5rr 
vellore institute of technology has issued the latest notification for the recruitment of 2020. applications are invited for the post of jrf. other details of like education qualification details, re…",Govt Job Guide,1210822000945418240,2019-12-28 07:17:15,[],GovtJobGuide,0.0,0.0,0.0,0.3612,Positive,4,0.0,0.0,0.0,VIT Notification 2020 Opening for Various JRF Posts Vellore Institute of Technology has issued the latest notification for the recruitment of 2020 Applications are invited for the post of JRF Other details of like Education Qualification Details Re…,"['vit', 'notification', '2020', 'opening', 'various', 'jrf', 'posts', 'vellore', 'institute', 'technology', 'issued', 'latest', 'notification', 'recruitment', '2020', 'applications', 'invited', 'post', 'jrf', 'details', 'like', 'education', 'qualification', 'details']","[('vit', 'NN'), ('notification', 'NN'), ('2020', 'CD'), ('opening', 'VBG'), ('various', 'JJ'), ('jrf', 'NN'), ('posts', 'NNS'), ('vellore', 'VBP'), ('institute', 'JJ'), ('technology', 'NN'), ('issued', 'VBN'), ('latest', 'JJS'), ('notification', 'NN'), ('recruitment', 'NN'), ('2020', 'CD'), ('applications', 'NNS'), ('invited', 'VBD'), ('post', 'NN'), ('jrf', 'NN'), ('details', 'NNS'), ('like', 'IN'), ('education', 'NN'), ('qualification', 'NN'), ('details', 'NNS')]","['vit', 'notification', 'jrf', 'posts', 'technology', 'notification', 'recruitment', 'applications', 'post', 'jrf', 'details', 'education', 'qualification', 'details']",0,0,4
3,"vallore institute of technology (vit) courses, fees and admission process #rajasthanpalaces #royalrajasthan #rajasthantourism #rajasthaniculture #cultureofrajasthan #facebook #twitter #instagram #rajasthanpalaceshttps://www.e-rajasthan.com/vallore-institute-of-technology-vit-courses-fees-and-admission-process/?utm_source=reviveoldpost&utm_medium=social&utm_campaign=reviveoldpost …",Rajasthan Travel and Tourism Guide,1210652629606354944,2019-12-27 20:04:14,"['rajasthanpalaces', 'royalrajasthan', 'rajasthantourism', 'rajasthaniculture', 'cultureofrajasthan', 'facebook', 'twitter', 'instagram', 'rajasthanpalaceshttps']",e_rajasthan,0.0,0.0,0.0,0.0,Neutral,3,0.0,0.0,0.0,Vallore Institute of Technology (VIT Courses Fees and Admission Process #rajasthanpalaces #royalrajasthan #rajasthantourism #rajasthaniculture #cultureofrajasthan #facebook #twitter #instagram # …,"['vallore', 'institute', 'technology', 'vit', 'courses', 'fees', 'admission', 'process', 'rajasthanpalaces', 'royalrajasthan', 'rajasthantourism', 'rajasthaniculture', 'cultureofrajasthan', 'facebook', 'twitter', 'instagram']","[('vallore', 'IN'), ('institute', 'JJ'), ('technology', 'NN'), ('vit', 'NN'), ('courses', 'NNS'), ('fees', 'NNS'), ('admission', 'VBP'), ('process', 'NN'), ('rajasthanpalaces', 'NNS'), ('royalrajasthan', 'VBP'), ('rajasthantourism', 'NN'), ('rajasthaniculture', 'NN'), ('cultureofrajasthan', 'NN'), ('facebook', 'VBP'), ('twitter', 'NN'), ('instagram', 'NN')]","['technology', 'vit', 'courses', 'fees', 'process', 'rajasthanpalaces', 'rajasthantourism', 'rajasthaniculture', 'cultureofrajasthan', 'twitter', 'instagram']",4,0,3
4,"mits5509 intelligent systems for analytics assignment help!! victorian institute of technology, australia!!

http://www.expertsmind.com/library/mits5509-intelligent-systems-for-analytics-assignment-52422298.aspx …
#mits5509 #intelligentsystemsforanalytics #assignmenthelp #onlinetutor #coursehelp #assessmenthelp #victorianinstituteoftechnology #vit #australiapic.twitter.com/zpnx9uu8po",Expertsmind.com,1209090557391208448,2019-12-23 12:37:07,"['MITS5509', 'IntelligentSystemsforAnalytics', 'AssignmentHelp', 'OnlineTutor', 'CourseHelp', 'AssessmentHelp', 'VictorianInstituteofTechnology', 'VIT', 'Australiapic']",ExpertsMindInc,0.0,0.0,0.0,0.7825,Positive,5,0.0,0.0,0.0,MITS5509 Intelligent Systems for Analytics Assignment Help! Victorian Institute of Technology Australia!! … #MITS5509 #IntelligentSystemsforAnalytics #AssignmentHelp #OnlineTutor #CourseHelp #AssessmentHelp #VictorianInstituteofTechnology #VIT #Australiapic.twitter.com/ZPnx9uu8Po,"['mits5509', 'intelligent', 'systems', 'analytics', 'assignment', 'help', 'victorian', 'institute', 'technology', 'australia', 'mits5509', 'intelligentsystemsforanalytics', 'assignmenthelp', 'onlinetutor', 'coursehelp', 'assessmenthelp', 'victorianinstituteoftechnology', 'vit', 'australiapic', 'twitter', 'com', 'zpnx9uu8po']","[('mits5509', 'JJ'), ('intelligent', 'JJ'), ('systems', 'NNS'), ('analytics', 'NNS'), ('assignment', 'JJ'), ('help', 'NN'), ('victorian', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('australia', 'VBZ'), ('mits5509', 'JJ'), ('intelligentsystemsforanalytics', 'NNS'), ('assignmenthelp', 'VBP'), ('onlinetutor', 'NN'), ('coursehelp', 'NN'), ('assessmenthelp', 'VB'), ('victorianinstituteoftechnology', 'NN'), ('vit', 'NN'), ('australiapic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('zpnx9uu8po', 'NN')]","['systems', 'analytics', 'help', 'institute', 'technology', 'intelligentsystemsforanalytics', 'onlinetutor', 'coursehelp', 'victorianinstituteoftechnology', 'vit', 'australiapic', 'twitter', 'com', 'zpnx9uu8po']",2,0,3
5,"thanks to developer student club-vellore institute of technology  (dsc-vit) powered by google developers group for providing machine learning lectures.
 
@dscvit
@googledevsin
@gdg
@udemy",Mohammad Shahid Ansari,1211639431959998464,2019-12-30 13:25:26,[],Shahid_Ansari_,0.0,0.0,0.0,0.4404,Positive,4,0.0,0.0,0.0,Thanks to Developer Student Club-Vellore Institute of Technology (DSC-VIT Powered by Google Developers Group for Providing Machine Learning Lectures. @dscvit @GoogleDevsIN @gdg @udemy,"['thanks', 'developer', 'student', 'club', 'vellore', 'institute', 'technology', 'dsc', 'vit', 'powered', 'google', 'developers', 'group', 'providing', 'machine', 'learning', 'lectures', 'dscvit', 'googledevsin', 'gdg', 'udemy']","[('thanks', 'NNS'), ('developer', 'VBP'), ('student', 'NN'), ('club', 'NN'), ('vellore', 'IN'), ('institute', 'JJ'), ('technology', 'NN'), ('dsc', 'NN'), ('vit', 'NN'), ('powered', 'VBD'), ('google', 'NN'), ('developers', 'NNS'), ('group', 'NN'), ('providing', 'VBG'), ('machine', 'NN'), ('learning', 'VBG'), ('lectures', 'NNS'), ('dscvit', 'VBP'), ('googledevsin', 'NN'), ('gdg', 'NN'), ('udemy', 'NN')]","['thanks', 'student', 'club', 'technology', 'dsc', 'vit', 'google', 'developers', 'group', 'machine', 'lectures', 'googledevsin', 'gdg', 'udemy']",0,0,4
6,junior research fellow in vellore institute of technology university https://goo.gl/fb/hlsucu  #governmentjob,Sarkari-Job,1211536334608904192,2019-12-30 06:35:46,['governmentjob'],sarkarijobind,0.0,0.0,0.0,0.0,Neutral,3,0.0,0.0,0.0,Junior Research Fellow In Vellore Institute Of Technology University #governmentjob,"['junior', 'research', 'fellow', 'vellore', 'institute', 'technology', 'university', 'governmentjob']","[('junior', 'JJ'), ('research', 'NN'), ('fellow', 'NN'), ('vellore', 'IN'), ('institute', 'NN'), ('technology', 'NN'), ('university', 'NN'), ('governmentjob', 'NN')]","['research', 'fellow', 'institute', 'technology', 'university', 'governmentjob']",0,0,3
7,"vit notification 2020 – opening for various jrf posts https://ift.tt/2qqw5rr 
vellore institute of technology has issued the latest notification for the recruitment of 2020. applications are invited for the post of jrf. other details of like education qualification details, re…",Govt Job Guide,1210822000945418240,2019-12-28 07:17:15,[],GovtJobGuide,0.0,0.0,0.0,0.3612,Positive,4,0.0,0.0,0.0,VIT Notification 2020 Opening for Various JRF Posts Vellore Institute of Technology has issued the latest notification for the recruitment of 2020 Applications are invited for the post of JRF Other details of like Education Qualification Details Re…,"['vit', 'notification', '2020', 'opening', 'various', 'jrf', 'posts', 'vellore', 'institute', 'technology', 'issued', 'latest', 'notification', 'recruitment', '2020', 'applications', 'invited', 'post', 'jrf', 'details', 'like', 'education', 'qualification', 'details']","[('vit', 'NN'), ('notification', 'NN'), ('2020', 'CD'), ('opening', 'VBG'), ('various', 'JJ'), ('jrf', 'NN'), ('posts', 'NNS'), ('vellore', 'VBP'), ('institute', 'JJ'), ('technology', 'NN'), ('issued', 'VBN'), ('latest', 'JJS'), ('notification', 'NN'), ('recruitment', 'NN'), ('2020', 'CD'), ('applications', 'NNS'), ('invited', 'VBD'), ('post', 'NN'), ('jrf', 'NN'), ('details', 'NNS'), ('like', 'IN'), ('education', 'NN'), ('qualification', 'NN'), ('details', 'NNS')]","['vit', 'notification', 'jrf', 'posts', 'technology', 'notification', 'recruitment', 'applications', 'post', 'jrf', 'details', 'education', 'qualification', 'details']",0,0,4
8,"vallore institute of technology (vit) courses, fees and admission process #rajasthanpalaces #royalrajasthan #rajasthantourism #rajasthaniculture #cultureofrajasthan #facebook #twitter #instagram #rajasthanpalaceshttps://www.e-rajasthan.com/vallore-institute-of-technology-vit-courses-fees-and-admission-process/?utm_source=reviveoldpost&utm_medium=social&utm_campaign=reviveoldpost …",Rajasthan Travel and Tourism Guide,1210652629606354944,2019-12-27 20:04:14,"['rajasthanpalaces', 'royalrajasthan', 'rajasthantourism', 'rajasthaniculture', 'cultureofrajasthan', 'facebook', 'twitter', 'instagram', 'rajasthanpalaceshttps']",e_rajasthan,0.0,0.0,0.0,0.0,Neutral,3,0.0,0.0,0.0,Vallore Institute of Technology (VIT Courses Fees and Admission Process #rajasthanpalaces #royalrajasthan #rajasthantourism #rajasthaniculture #cultureofrajasthan #facebook #twitter #instagram # …,"['vallore', 'institute', 'technology', 'vit', 'courses', 'fees', 'admission', 'process', 'rajasthanpalaces', 'royalrajasthan', 'rajasthantourism', 'rajasthaniculture', 'cultureofrajasthan', 'facebook', 'twitter', 'instagram']","[('vallore', 'IN'), ('institute', 'JJ'), ('technology', 'NN'), ('vit', 'NN'), ('courses', 'NNS'), ('fees', 'NNS'), ('admission', 'VBP'), ('process', 'NN'), ('rajasthanpalaces', 'NNS'), ('royalrajasthan', 'VBP'), ('rajasthantourism', 'NN'), ('rajasthaniculture', 'NN'), ('cultureofrajasthan', 'NN'), ('facebook', 'VBP'), ('twitter', 'NN'), ('instagram', 'NN')]","['technology', 'vit', 'courses', 'fees', 'process', 'rajasthanpalaces', 'rajasthantourism', 'rajasthaniculture', 'cultureofrajasthan', 'twitter', 'instagram']",4,0,3
9,"mits5509 intelligent systems for analytics assignment help!! victorian institute of technology, australia!!

http://www.expertsmind.com/library/mits5509-intelligent-systems-for-analytics-assignment-52422298.aspx …
#mits5509 #intelligentsystemsforanalytics #assignmenthelp #onlinetutor #coursehelp #assessmenthelp #victorianinstituteoftechnology #vit #australiapic.twitter.com/zpnx9uu8po",Expertsmind.com,1209090557391208448,2019-12-23 12:37:07,"['MITS5509', 'IntelligentSystemsforAnalytics', 'AssignmentHelp', 'OnlineTutor', 'CourseHelp', 'AssessmentHelp', 'VictorianInstituteofTechnology', 'VIT', 'Australiapic']",ExpertsMindInc,0.0,0.0,0.0,0.7825,Positive,5,0.0,0.0,0.0,MITS5509 Intelligent Systems for Analytics Assignment Help! Victorian Institute of Technology Australia!! … #MITS5509 #IntelligentSystemsforAnalytics #AssignmentHelp #OnlineTutor #CourseHelp #AssessmentHelp #VictorianInstituteofTechnology #VIT #Australiapic.twitter.com/ZPnx9uu8Po,"['mits5509', 'intelligent', 'systems', 'analytics', 'assignment', 'help', 'victorian', 'institute', 'technology', 'australia', 'mits5509', 'intelligentsystemsforanalytics', 'assignmenthelp', 'onlinetutor', 'coursehelp', 'assessmenthelp', 'victorianinstituteoftechnology', 'vit', 'australiapic', 'twitter', 'com', 'zpnx9uu8po']","[('mits5509', 'JJ'), ('intelligent', 'JJ'), ('systems', 'NNS'), ('analytics', 'NNS'), ('assignment', 'JJ'), ('help', 'NN'), ('victorian', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('australia', 'VBZ'), ('mits5509', 'JJ'), ('intelligentsystemsforanalytics', 'NNS'), ('assignmenthelp', 'VBP'), ('onlinetutor', 'NN'), ('coursehelp', 'NN'), ('assessmenthelp', 'VB'), ('victorianinstituteoftechnology', 'NN'), ('vit', 'NN'), ('australiapic', 'NN'), ('twitter', 'NN'), ('com', 'NN'), ('zpnx9uu8po', 'NN')]","['systems', 'analytics', 'help', 'institute', 'technology', 'intelligentsystemsforanalytics', 'onlinetutor', 'coursehelp', 'victorianinstituteoftechnology', 'vit', 'australiapic', 'twitter', 'com', 'zpnx9uu8po']",2,0,3
