,Tweet_text,date,username,retweets,hashtags,uni_handle,compound,Sentiment
0,"Let’s hope for the best, ayina BITS Pilani graduate, manchi life lead cheyyochu w/o controversies, adhi thelisukuni raakapothe best, vasthe vaadi kharma anthe",2020-06-18 15:03:10+00:00,IronMan24124112,0,,0.0,0.9062,Positive
1,"In these unprecedented times when Virtual Convocations are taking place, here are 6 life lessons from Anji R. Maram, Founder & CEO of CriticalRiver https://rebrand.ly/9d9bhhh #criticalriver #criticalrivercare #bitspilani #bitsians #ullafayette #uclaanderson #uclaalumni",2020-06-18 10:58:30+00:00,CriticalRiver,0,#criticalriver #criticalrivercare #bitspilani #bitsians #ullafayette #uclaanderson #uclaalumni,0.0,0.0,Neutral
2,"Dear BITSians Join us for the webinar on Building Future proof Organisations , by Ms Vandana Malaiya , BITS Pilani ‘80 batch , an EX-IBMer and having industry experience of over 30+years Please join using google link today i.e 18-06-2020 @7pm IST",2020-06-18 10:24:02+00:00,BITSAA,0,,0.0,0.8074,Positive
3,"""My parents always keep fighting with each other. Maybe they used to do so, but now in this lockdown, I am able to witness them fighting regularly. I am becoming more and more depressed day by day, and don't know what to do....."" -Bits Pilani",2020-06-18 08:42:41+00:00,FessionsBrown,0,,0.0,-0.883,Negative
4,Convocation Time? 6 Life Lessons that helped me a lot. I wish all young men and women graduating in 2020 the very best. God bless you all. @CriticalRiver @BITS_Pilani @uclaanderson #Classof2020 #Graduation2020,2020-06-18 08:16:23+00:00,AnjiMaram,0,#Classof2020 #Graduation2020,0.0,0.9124,Positive
5,"@BITSAA Dear BITSians Thanks for registering for webinar : Building Future proof Organisations by Ms Vandana Malaiya , BITS Pilani ‘80 batch Please join using google link today i.e18-06-2020 @7pm IST https://meet.google.com/dii-pomc-ghe Regards Kailash Gupta President BITSAA Jaipur",2020-06-18 05:34:53+00:00,guptakailash,3,,0.0,0.8402,Positive
6,"BITS pilani has that system , it's called 'Practice School' ",2020-06-18 04:45:23+00:00,Rishab_kabdi,0,,0.0,0.0,Neutral
7,"ISCB Pilani Chapter invited you to join virtual conference on ""Cross-cutting Edge Research in Organic and Medicinal Chemistry"" Date: June 24, 2020 (Wednesday) from 9.45 am - 1.00 PM Register (free): http://discovery.bits-pilani.ac.in/WebinarRegistration/ #BITSPilani #virtualconference #webinar",2020-06-18 01:42:05+00:00,bitspilaniindia,1,#BITSPilani #virtualconference #webinar,1.0,0.6705,Positive
8,"With the habit of wearing masks, bachelors can live without a bath for a few more days. #COVID #COVID19 #bachelor #teenager #college #campus #WorkFromHome #internships #QuarantineLife #iit #bitspilani #Engineering #medicalstudent",2020-06-17 22:13:39+00:00,Pun_paliaKishan,0,#COVID #COVID19 #bachelor #teenager #college #campus #WorkFromHome #internships #QuarantineLife #iit #bitspilani #Engineering #medicalstudent,0.0,0.0,Neutral
9,@BITS_Pilani already does something like this.,2020-06-17 18:34:10+00:00,muralipiyer,0,,0.0,0.3612,Positive
10,Like what? Gd Birla school? Both bits pilani and Bit mesra is from b4 communism and naxal movement. Birla is the backer of gaddar Gandhi - what better can be expected from them. Wish Kolkata had tata instead of Birla.,2020-06-17 16:57:43+00:00,News__Boss,0,,0.0,0.8156,Positive
11,"About to finish my thesis. Spent an hour debugging a fault which was because a variable named ""highlitedLinks"" in the backend (written by me) was incorrectly being referred to as ""highlightedLinks"" in the frontend (also written by me). Thank you BITS Pilani ",2020-06-17 16:39:32+00:00,sangle_sankalp,0,,0.0,-0.0516,Negative
12,BITSian COVID-19 Initiative #BITSPilani #BITSians #BITSAlumniRelations,2020-06-17 12:53:03+00:00,bitspilaniindia,4,#BITSPilani #BITSians #BITSAlumniRelations,1.0,0.0,Neutral
13,BITSian COVID-19 Initiative #BITSPilani #BITSians #BITSAlumniRelations,2020-06-17 12:44:41+00:00,bitspilaniindia,0,#BITSPilani #BITSians #BITSAlumniRelations,1.0,0.0,Neutral
14,New Leadership Team of BITSAA International #BITSPilani #Alumnirelations,2020-06-17 12:40:53+00:00,bitspilaniindia,2,#BITSPilani #Alumnirelations,1.0,0.0,Neutral
15,When they talk about IIT but im l i ke par BITs pilani ? Shudve studied harder ,2020-06-17 06:16:04+00:00,UrDheeru,0,,0.0,0.6124,Positive
16,"Namaste, Hello!!! I am PG from BITS Pilani @bitspilaniindia ... I m very much shocked about the demise of Sushant Singh Rajput @itsSSR So, you may shar me your thoughts, if suffering from depression. You may not know me, but I know the situation. Just ping me &amp; get relaxed.",2020-06-17 04:18:49+00:00,IRUDRARAM,0,,0.0,0.2469,Positive
17,A very good initiative of BITS Pilani team. Congrats,2020-06-17 01:33:17+00:00,PkBhattacharj10,0,,0.0,0.7645,Positive
18,"While BITS Pilani, (Goa/Hyderabad) are like Uday Chopra! Leveraging the “Chopra” legacy",2020-06-17 01:25:13+00:00,Anuj_Bothra,0,,0.0,0.4199,Positive
19,"BITS Pilani gets the best deal, similar preference as IITs without the negative press. ",2020-06-16 15:49:56+00:00,sujaychoubey,0,,0.0,0.8019,Positive
20,"One of our alumnus Y Mouleeswara Reddy (2002) working as Senior software Engineer at Eurofins Genomics India, Bengaluru. He graduated in http://B.Tech from BITS Pilani, Goa. #knowyouralumni #Aprskalvabugga #Networking #AAKARSHfamily #Proudaakarshian",2020-06-16 15:49:35+00:00,aprskalvabugga,0,#knowyouralumni #Aprskalvabugga #Networking #AAKARSHfamily #Proudaakarshian,0.0,0.0,Neutral
21,Google CEO: IIT Kharagpur Microsoft CEO: Manipal Adobe CEO: Osmania Mastercard CEO: St Stephens IBM CEO: IIT Kanpur Albertsons CEO: IIT Chennai Micron CEO: BITS Pilani Nokia CEO: Manipal Harmon CEO: IIT Kanpur .... goes on Rankings dont mean anything!,2020-06-16 14:51:23+00:00,trial123452,0,,0.0,0.0,Neutral
22,Will there be rain in BITS Pilani Hyderabad Campus? @Rajani_Weather ,2020-06-16 12:15:10+00:00,santosheflu,0,,0.0,0.0,Neutral
23,BITS Pilani team develops mouth sanitiser to prevent Covid-19 spread ,2020-06-16 11:47:01+00:00,TheAKDwivedi,0,,0.0,0.0258,Neutral
24,BITS Pilani team develops mouth sanitiser to prevent Covid-19 spread https://www.thehindubusinessline.com/news/bits-pilani-team-develops-mouth-sanitiser-to-prevent-covid-19-spread/article31832690.ece #BITSPilani ,2020-06-16 11:23:56+00:00,bitspilaniindia,12,#BITSPilani,1.0,0.0258,Neutral
25,"This View #BITSHyderabad #Bitspilani #bitshyd #bphc #inturi – at BITS, Pilani - Hyderabad Campus",2020-06-16 09:45:38+00:00,prasanthinturi,0,#BITSHyderabad #Bitspilani #bitshyd #bphc #inturi,0.0,0.0,Neutral
26,"@narendramodi India need skill development to run its Industries efficiently.ITIs r outdated&amp;big drag on Public money. Appeal to all IITs&amp;other Premier Eng universities like BITS,Pilani etc to start 3Y skill development Diploma.Govt may disband ITIs&amp; part fund Pvt colleges",2020-06-16 06:41:32+00:00,SUBHASHKATYAL,0,,0.0,0.1531,Positive
27,@ugc_india Hello. I want to ask about the WILP programme offered by BITS Pilani as technical correspondence courses for working professionals. Why is it not being stopped after the Supreme court guidelines? I am still receiving the messages from them to enroll in the course.,2020-06-16 06:29:41+00:00,beingGAUTI,0,,0.0,0.6774,Positive
28,BITS Pilani team develops mouth sanitiser to prevent Covid-19 spread https://trib.al/hR8jRPL,2020-06-16 02:01:42+00:00,businessline,2,,0.0,0.0258,Neutral
29,You mean BITS Pilani?!,2020-06-16 01:13:53+00:00,rauindia,0,,0.0,0.0,Neutral
30,I am very fortunate to be a part of BITS Pilani WILP Platform. Any working professionals looking for higher education without quitting your job please go through the BITS WILP Content and get a nice chance to promote your career to next level. @bitspilaniindia #HigherEducation,2020-06-15 20:30:35+00:00,92Pratyush,0,#HigherEducation,0.0,0.8977,Positive
31,"Computer Science graduate (BE) from BITS Pilani, Madhur Khandelwal has done his Masters in Computer Science ... ",2020-06-15 20:17:05+00:00,thinkLBN,0,,0.0,0.0,Neutral
32,Ibn-e-Insha: The Romantic Revolutionary,2020-06-15 11:36:42+00:00,PC_Bitsp,0,,0.0,0.4019,Positive
33,BITS Pilani team develops mouth sanitiser to prevent Covid-19 spread https://www.thehindubusinessline.com/news/bits-pilani-team-develops-mouth-sanitiser-to-prevent-covid-19-spread/article31832690.ece,2020-06-15 11:30:42+00:00,Banjow4u,0,,0.0,0.0258,Neutral
34,BITS Pilani team develops mouth sanitiser to prevent Covid-19 spread https://www.thehindubusinessline.com/news/bits-pilani-team-develops-mouth-sanitiser-to-prevent-covid-19-spread/article31832690.ece @businessline @bitspilaniindia,2020-06-15 10:57:30+00:00,vrishi2011,1,,0.0,0.0258,Neutral
35,BITS #Pilani Latest Recruitment 2020 Apply Offline For JRF Posts: BITS Pilani Govt Jobs… ,2020-06-15 03:27:46+00:00,latestGovtJobss,0,#Pilani,0.0,-0.128,Negative
36,"Idk why, when I hear bits Pilani, bitch lasagna plays in my head",2020-06-14 20:43:26+00:00,uffelaichi,0,,0.0,-0.4939,Negative
37,"Sports Facilities at BITS Pilani | BITS, Basketball, aur iske Baare me :... https://youtu.be/UQuIKlTutZ4 via @YouTube",2020-06-14 16:21:43+00:00,GairolaYatharth,0,,0.0,0.0,Neutral
38,"Pixxel, a space startup by two 20-year-old entrepreneurs from BITS Pilani is building a constellation of nanosatellites that can provide an entirely new kind of dataset that can help detect, monitor and predict global phenomena in near real-time. ",2020-06-14 10:55:01+00:00,NewSpaceIndia,5,,0.0,0.4019,Positive
39,Book Review: Call Me By Your Name,2020-06-14 09:43:12+00:00,PC_Bitsp,0,,0.0,0.0,Neutral
40,"@bitspilaniindia IT professional from BITS Pilani is showing his rich vocabulary in abusive language. In the screenshot, he is abusing a senior senior journalist @ravishndtv This language shouldn't be acceptable from an educated person belonging to a prestigious institution.",2020-06-14 07:37:08+00:00,theunpaidmedia,0,,0.0,-0.6769,Negative
41,@bitspilaniindia all the degrees of this person has gone into vain . Shame on their parents and it's a black spot for BITSPILANI @HansrajMeena @ashoswai @ravishndtv #sanghisonch#,2020-06-14 00:51:59+00:00,dealsindia7,0,,0.0,-0.7096,Negative
42,"BITS Pilani Recruitment 2020 – Junior Research Fellow Vacancies – M. Pharm, M.S ",2020-06-13 21:14:23+00:00,GoNewsIndia1,0,,0.0,0.0,Neutral
43,Great workshop! Everyone must attend! #ISHRAE #BIts_Pilani,2020-06-13 18:37:13+00:00,kishan_mech,0,#ISHRAE #BIts_Pilani,0.0,0.6892,Positive
44,#bitspilani is the only known gurukul in a mandir! Thanks to Birlas for such a great institute!,2020-06-13 17:17:16+00:00,DhondhuChilled,0,#bitspilani,0.0,0.8217,Positive
45,Tele Health Services Pvt Ltd Website https://www.telehealthservicespvtltd.com/about.html ISO 9001:2015 and 27001:2013 Certified company-according to the website Clients include BITS Pilani Credo Telangana Govt Vales &amp; Hills... Directors Burra Pramod Reddy Avula Chaitanya Reddy ,2020-06-13 14:34:49+00:00,rajuyv,1,,0.0,0.0,Neutral
46,5-day #International #Workshop on Recent Advances in #Thermal #Engineering (IWRATE 2020)” from 29 June to 3 July We have a dozen of star-studded speakers who will share their knowledge and experiences to us all in an #online mode Registration Link: https://forms.gle/Rd7rgcBbDEyzPm147,2020-06-13 13:17:53+00:00,BitsIshrae,1,#International #Workshop #Thermal #Engineering #online,0.0,0.296,Positive
47,Tele Health Services Pvt Ltd Website https://www.telehealthservicespvtltd.com/about.html ISO 9001:2015 and 27001:2013 Certified company-according to the website Clients include BITS Pilani Credo Telangana Govt Vales &amp; Hills... Directors Burra Pramod Reddy Avula Chaitanya Reddy https://www.instafinancials.com/company/tele-health-services-private-limited/U74900TG2016PTC103600,2020-06-13 12:48:22+00:00,Eclector1419857,19,,0.0,0.0,Neutral
