,Tweet_text,date,username,retweets,uni_handle,compound,Sentiment
0,"The valuation subject should be post graduate subject in civil engineering Institutes . Not as proposed in valuer bill . The IBBI & RVO, are jointly involved ,in creating a new institute to call NIV Please take action @iitdelhi @IITKanpur @AICTE_INDIA @iitmadras @iitbombay",2020-06-12 14:45:07+00:00,shekhargupta68,0,0.0,0.5423,Positive
1,Heartiest congratulations,2020-06-12 14:43:09+00:00,truspectra,0,0.0,0.5994,Positive
2,The new norm after #COVID19 ...what are the challenges for collaboration. @Ashutos61 ...world class incubator developed at IIT Kanpur developed in less than a month...... (classic example of necessity is the mother of invention),2020-06-12 14:40:03+00:00,spf_in,0,0.0,0.0772,Positive
3,It's as real as #sunrises in the #east,2020-06-12 14:28:26+00:00,raj_knp,0,0.0,0.0,Neutral
4," civil engineers of all IIT institutes , it is request and duty to save one of our profession ,the valuation job,which is our subject . Is going to non technical persons by forming NIV,by valuer bill 2020 @iitdelhi @iitmadras @IITKanpur @iitbombay @IITKgp @iitgn @IITGuwahati",2020-06-12 14:27:10+00:00,shekhargupta68,0,0.0,0.4939,Positive
5,Congratulations ,2020-06-12 14:25:10+00:00,Abhishe66501625,0,0.0,0.5994,Positive
6,"The recent draft of valuers bill 2020 drafted by IBBI chairman is against all civil engineering institutes ,architects institute as , they will form NIV to teach non technicals persons and to make them valuers . @IITKanpur ,@iitbombay ,@iitmadras ,@IITKgp ,@iitdelhi @iitgn",2020-06-12 14:18:18+00:00,shekhargupta68,1,0.0,0.0,Neutral
7,Michael Faraday.,2020-06-12 14:06:38+00:00,Abhishe08729378,0,0.0,0.0,Neutral
8,Hearty congratulations,2020-06-12 13:57:26+00:00,radhakr272,0,0.0,0.5994,Positive
9,Maxwell,2020-06-12 13:52:29+00:00,bhupathi_boom,0,0.0,0.0,Neutral
10,One of the flamboyant inhabitants in the IIT Kanpur campus. #peacock #IITK @IITKanpur ,2020-06-12 13:52:01+00:00,SalilMJoshi,0,0.0,0.0,Neutral
11,Congratulations,2020-06-12 13:49:05+00:00,Rajivdst,0,0.0,0.5994,Positive
12,Cannot guess if this is sarcasm or real,2020-06-12 13:45:36+00:00,hbtualumni,0,0.0,-0.2263,Negative
13,Congratulations,2020-06-12 13:43:40+00:00,Rajivdst,0,0.0,0.5994,Positive
14,Michael Faraday,2020-06-12 13:36:56+00:00,SIVSHANKARI,0,0.0,0.0,Neutral
15,NIRF Ranking 2020: Top Best 10 Institutes across India. Rank 1: IIT Madras Rank 2: II Science Rank 3: IIT Delhi Rank 4: IIT Bombay Rank 5: IIT Kharagpur Rank 6: IIT Kanpur Rank 7: IIT Guwahati Rank 8: JNU Rank 9: IIT Roorkee Rank 10: BHU ,2020-06-12 13:23:21+00:00,edushikshaguide,3,0.0,0.7184,Positive
16,Michael faraday....,2020-06-12 13:07:45+00:00,Himansh32871509,0,0.0,0.0,Neutral
17,"Number of corona positive case- 298,482 IIT Delhi, IIT Bombay, IIT Kanpur, MIT, Amity Jaipur, Maharashtra, odisa, Karnataka govt - we will cancle all the exams due to Covid crisis. Meanwhile @mlkhattar @anilvijminister @VC_kuk",2020-06-12 13:02:05+00:00,y0dha__,0,0.0,-0.0516,Negative
18,"Can you guess the correct answer? While you are at it, check out @IITKanpur ’s course on Applied Electromagnetism on Swayam. Learn more on https://swayam.gov.in/nd1_noc20_ee93/preview #SWAYAM #SwayamLearning #OnlineEducatio",2020-06-12 13:00:55+00:00,SWAYAMMHRD,0,0.0,0.0,Neutral
