,Tweet_text,date,username,retweets,uni_handle,compound,Sentiment
0,"The valuation subject should be post graduate subject in civil engineering Institutes . Not as proposed in valuer bill . The IBBI & RVO, are jointly involved ,in creating a new institute to call NIV Please take action @iitdelhi @IITKanpur @AICTE_INDIA @iitmadras @iitbombay",2020-06-12 14:45:07+00:00,shekhargupta68,0,0.0,0.5423,Positive
1,@ProfSushmaGupta @drharshvardhan @narendramodi @ABPNews @Spotboye IIT DELHI CONGRATULATIONS FOR MAKING 95NH MASKS FOR USE OF PUBLIC@95/- CONGRATULATIONS. THIS IS STARTUP. SIMILARLY ASK YOUR INSTITUTION TO GIVE YOU AN OPPORTUNITY TO MANUFECTURE SOME THING OR THE OTHER,2020-06-12 14:45:02+00:00,ProfSushmaGupta,0,0.0,0.93,Positive
2,"Program: ""Nano-particles of PTFE as Extreme-pressure additive (EPA) in oils"" - Prof. Jayashree Bijwe from @iitdelhi (IN) ""Nanotechnology Trends in Lubricant Market. Opportunities and Issues"" - Dr. George Diloyan from Nanotech Industrial Solutions Inc. (USA) 4/5 ",2020-06-12 14:35:08+00:00,DucomTribos,0,0.0,0.5106,Positive
3,It's as real as #sunrises in the #east,2020-06-12 14:28:26+00:00,raj_knp,0,0.0,0.0,Neutral
4,"ROPOSO- founders : Mayank, Avinash,kaushal (graduated from IIT DELHI). Truly #swadeshi app . Use this in place of #TIKTOK. A step towards #AtmaNirbharBharat. when @mygovindia can download it ,i don't think anybody would be having any problem in using it.",2020-06-12 14:28:21+00:00,Sanidhya29jhs,1,0.0,0.0516,Positive
5," civil engineers of all IIT institutes , it is request and duty to save one of our profession ,the valuation job,which is our subject . Is going to non technical persons by forming NIV,by valuer bill 2020 @iitdelhi @iitmadras @IITKanpur @iitbombay @IITKgp @iitgn @IITGuwahati",2020-06-12 14:27:10+00:00,shekhargupta68,0,0.0,0.4939,Positive
6,"The recent draft of valuers bill 2020 drafted by IBBI chairman is against all civil engineering institutes ,architects institute as , they will form NIV to teach non technicals persons and to make them valuers . @IITKanpur ,@iitbombay ,@iitmadras ,@IITKgp ,@iitdelhi @iitgn",2020-06-12 14:18:18+00:00,shekhargupta68,1,0.0,0.0,Neutral
7,Watch #Video #industrial #infrastructure @FollowCII @ficci_india @ASSOCHAM4India @phdchamber @AIPMAINDIA @giz_india @iitdelhi @iitmadras @iitbombay @iitgn @IITKgp @IIMAhmedabad @IIM_Bangalore @IIM_Rohtak @IIML @SRMUNIVERSITY1 @azimpremjiuniv @AshokaUniv,2020-06-12 14:15:18+00:00,vijayNe11088447,4,0.0,0.0,Neutral
8,@iitdelhi Due to COVID 19 I suggest that the colleges on all India level IITs NITs ISERs IIST IIITs and GFTIs should be alloted on the basis of JEE Main Jan. I think its the safest and the wise way because all the sincere students would definitely have attempted JEEmainsJan.,2020-06-12 14:02:13+00:00,Rugved2007,0,0.0,0.8807,Positive
9,Sir please make any final decision about board examination 2020 class 12,2020-06-12 14:02:05+00:00,BabluKu64553930,0,0.0,0.3182,Positive
