,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,uni_handle,compound,Sentiment
0,"Transforming footpaths: The architecture department is taking forward Dr Doreswamy’s suggestion to transform service lanes near the university campus into pleasant walking tracks on the lines of footpaths in Hong Kong, which he happened to visit recently.pic.twitter.com/osf0vL2v4W",PES University,1137730835044392960,2019-06-09 14:39:03,[],PESUniversity,2,1.0,0.5106,Positive
1,"MBA OPEN HOUSE on June 9 @ 9.30 am. You and your family are invited to spend A Day on the PES Campus for MBA Open House. You will have the opportunity to tour campus and speak with: Admissions and Faculty members, Directors and members of the programs. https://pes.edu/mba pic.twitter.com/i7au4QKHPI",PES University,1137231356377780224,2019-06-08 05:34:18,[],PESUniversity,0,1.0,0.4215,Positive
2,"Transforming footpaths: The architecture department is taking forward Dr Doreswamy’s suggestion to transform service lanes near the university campus into pleasant walking tracks on the lines of footpaths in Hong Kong, which he happened to visit recently.pic.twitter.com/osf0vL2v4W",PES University,1137730835044392960,2019-06-09 14:39:03,[],PESUniversity,2,1.0,0.5106,Positive
3,"MBA OPEN HOUSE on June 9 @ 9.30 am. You and your family are invited to spend A Day on the PES Campus for MBA Open House. You will have the opportunity to tour campus and speak with: Admissions and Faculty members, Directors and members of the programs. https://pes.edu/mba pic.twitter.com/i7au4QKHPI",PES University,1137231356377780224,2019-06-08 05:34:18,[],PESUniversity,0,1.0,0.4215,Positive
4,"Talk to us for instant updates on direct admissions 
+91 98459 09394
#Direct_Admission_PES_University
#PES_University_Direct_Admission
#Management_Quota_Admission_PES_University… https://www.instagram.com/p/ByuNvCJHg_B/?igshid=1vxp9t24c7lw9 …",universitiesbangalore.com,1139797459436261376,2019-06-15 07:31:05,"['Direct_Admission_PES_University', 'PES_University_Direct_Admission', 'Management_Quota_Admission_PES_University']",universitiesba1,0,0.0,0.0,Neutral
5,"Y is the service Road from PES university in 100ft ring road not been used till the chenamma circle(nice entry)
It's been either used to park commercial trucks or other cars. 
There is lot of issues like this needs to be addressed in South Bangalore @Tejasvi_Surya @blrcitytraffic",Abhilash BP,1139483889603248128,2019-06-14 10:45:04,[],bp_abhilash,0,0.0,0.3612,Positive
6,Two Day FDP on DESIGN FOR TEST using MENTOR TESSENT TOOL SUITE @PES Universitypic.twitter.com/gMd346xSjb,CoreEL Technologies,1139429982025814016,2019-06-14 07:10:51,[],CoreEL_Techno,1,0.0,0.0,Neutral
7,"@AddlCPTraffic @blrcitytraffic  service rd near PES university towards Nayandahally,  is completely dumped with debris,  are we really interested in smooth traffic flow,  added to this rainy is more miserable to two wheelers,  please look into this on priority",Shreedhar Kulkarni,1139072421917384704,2019-06-13 07:30:02,[],ShreedharKulka7,0,0.0,-0.3753,Negative
8,"PES University is calling applications for their BA LLB, BBA LLB and BCom LLB Programs of session 2019-20.

To apply, click here: https://tinyurl.com/y4sdltfr pic.twitter.com/mGi6oREPSG",Lawctopus,1139044540780670976,2019-06-13 05:39:15,[],Lawctopus,0,0.0,0.0,Neutral
9,"Talk to us for instant updates on direct admissions 
+91 98459 09394
#Direct_Admission_PES_University
#PES_University_Direct_Admission
#Management_Quota_Admission_PES_University… https://www.instagram.com/p/ByuNvCJHg_B/?igshid=1vxp9t24c7lw9 …",universitiesbangalore.com,1139797459436261376,2019-06-15 07:31:05,"['Direct_Admission_PES_University', 'PES_University_Direct_Admission', 'Management_Quota_Admission_PES_University']",universitiesba1,0,0.0,0.0,Neutral
10,"Y is the service Road from PES university in 100ft ring road not been used till the chenamma circle(nice entry)
It's been either used to park commercial trucks or other cars. 
There is lot of issues like this needs to be addressed in South Bangalore @Tejasvi_Surya @blrcitytraffic",Abhilash BP,1139483889603248128,2019-06-14 10:45:04,[],bp_abhilash,0,0.0,0.3612,Positive
11,Two Day FDP on DESIGN FOR TEST using MENTOR TESSENT TOOL SUITE @PES Universitypic.twitter.com/gMd346xSjb,CoreEL Technologies,1139429982025814016,2019-06-14 07:10:51,[],CoreEL_Techno,1,0.0,0.0,Neutral
12,"@AddlCPTraffic @blrcitytraffic  service rd near PES university towards Nayandahally,  is completely dumped with debris,  are we really interested in smooth traffic flow,  added to this rainy is more miserable to two wheelers,  please look into this on priority",Shreedhar Kulkarni,1139072421917384704,2019-06-13 07:30:02,[],ShreedharKulka7,0,0.0,-0.3753,Negative
13,"PES University is calling applications for their BA LLB, BBA LLB and BCom LLB Programs of session 2019-20.

To apply, click here: https://tinyurl.com/y4sdltfr pic.twitter.com/mGi6oREPSG",Lawctopus,1139044540780670976,2019-06-13 05:39:15,[],Lawctopus,0,0.0,0.0,Neutral
14,"PES University is calling applications for their BBA LLB - 5 Years Integrated Law Program of session 2019-20.

To apply, click here: (link: http://tinyurl.com/y4sdltfr ) http://tinyurl.com/y4sdltfr pic.twitter.com/6fxSdeCQwT",Lawctopus,1154261645008363520,2019-07-25 05:26:35,[],Lawctopus,0,0.0,0.0,Neutral
15,"PES University is calling applications for their BBA LLB - 5 Years Integrated Law Program of session 2019-20.

To apply, click here: (link: http://tinyurl.com/y4sdltfr ) http://tinyurl.com/y4sdltfr pic.twitter.com/6fxSdeCQwT",Lawctopus,1154261645008363520,2019-07-25 05:26:35,[],Lawctopus,0,0.0,0.0,Neutral
16,"Mysuru youth, Bhaarat Chetty, a final year B Tech student of PES University, made the city proud by attending Google’s Annual Developer Conference, Google I/O – 2019, held at California,
https://buff.ly/2IxU0uC ",Star Of Mysore,1138272155190403072,2019-06-11 02:30:04,[],Star_Of_Mysore,2,0.0,0.4767,Positive
17,"Mysuru youth, Bhaarat Chetty, a final year B Tech student of PES University, made the city proud by attending Google’s Annual Developer Conference, Google I/O – 2019, held at California,
https://buff.ly/2IxU0uC ",Star Of Mysore,1138272155190403072,2019-06-11 02:30:04,[],Star_Of_Mysore,2,0.0,0.4767,Positive
18,"A big kudos to the blazing guns of 2019! We've had interns from @XIMEBangalore1, @PESUniversity, @ismemumbai. Thank you for sharing such amazing resources with us.

A sheer example of determination, perseverance, and dedication!

It's our pleasure having you onboard.

#internshippic.twitter.com/QEYiZEsGNg",LitmusWorld,1149764523944845312,2019-07-12 19:36:38,['internshippic'],LitmusWorld,0,0.0,0.9606,Positive
19,"ATTEND LAW INFO SESSION on July 14, 10 am. Give Your Law Education the PESU Advantage. Our five-year integrated BBA-LLB program has been designed to give graduating students an edge in the challenging, intricate and interdisciplinary world of legal issues. https://bit.ly/2JEaqCp pic.twitter.com/tyfZKtNHry",PES University,1149686503284473856,2019-07-12 14:26:37,[],PESUniversity,0,1.0,0.5719,Positive
20,Birthday Celebrations 2019. — celebrating my birthday at PES University https://www.facebook.com/SHARATH.H.AITHAL/posts/10220484471571658 …,Sharath H Aithal,1149677251115532288,2019-07-12 13:49:51,[],real_sharath,0,0.0,0.5719,Positive
21,Talk on Human Robot Interaction by Prof. David Jenkins: The talk on Human Robot Interaction for Enhanced Perception and Social Wellbeing traced the evolution of user interface and robotics. https://news.pes.edu/10196 pic.twitter.com/58XtTZKoxM,PES University,1149673086406447104,2019-07-12 13:33:18,[],PESUniversity,0,1.0,0.0,Neutral
22,"PES University is calling applications for their BBA LLB - 5 Years Integrated Law Program of session 2019-20.

To apply, click here: https://tinyurl.com/y4sdltfr pic.twitter.com/XuTltaWJBe",Lawctopus,1149193129360154624,2019-07-11 05:46:07,[],Lawctopus,1,0.0,0.0,Neutral
23,"A big kudos to the blazing guns of 2019! We've had interns from @XIMEBangalore1, @PESUniversity, @ismemumbai. Thank you for sharing such amazing resources with us.

A sheer example of determination, perseverance, and dedication!

It's our pleasure having you onboard.

#internshippic.twitter.com/QEYiZEsGNg",LitmusWorld,1149764523944845312,2019-07-12 19:36:38,['internshippic'],LitmusWorld,0,0.0,0.9606,Positive
24,"ATTEND LAW INFO SESSION on July 14, 10 am. Give Your Law Education the PESU Advantage. Our five-year integrated BBA-LLB program has been designed to give graduating students an edge in the challenging, intricate and interdisciplinary world of legal issues. https://bit.ly/2JEaqCp pic.twitter.com/tyfZKtNHry",PES University,1149686503284473856,2019-07-12 14:26:37,[],PESUniversity,0,1.0,0.5719,Positive
25,Birthday Celebrations 2019. — celebrating my birthday at PES University https://www.facebook.com/SHARATH.H.AITHAL/posts/10220484471571658 …,Sharath H Aithal,1149677251115532288,2019-07-12 13:49:51,[],real_sharath,0,0.0,0.5719,Positive
26,Talk on Human Robot Interaction by Prof. David Jenkins: The talk on Human Robot Interaction for Enhanced Perception and Social Wellbeing traced the evolution of user interface and robotics. https://news.pes.edu/10196 pic.twitter.com/58XtTZKoxM,PES University,1149673086406447104,2019-07-12 13:33:18,[],PESUniversity,0,1.0,0.0,Neutral
27,"PES University is calling applications for their BBA LLB - 5 Years Integrated Law Program of session 2019-20.

To apply, click here: https://tinyurl.com/y4sdltfr pic.twitter.com/XuTltaWJBe",Lawctopus,1149193129360154624,2019-07-11 05:46:07,[],Lawctopus,1,0.0,0.0,Neutral
28,"Dr. Snehanshu Saha wins PEACE Award-Distinguished Researcher of the Year Award, 2019 in Machine Learning & AstroInformatics. World Research Peace Award powered by RULA recognizes distinguished contributions in a subject area of high potential impact by... https://news.pes.edu/10201 pic.twitter.com/HYkNH2C064",PES University,1150797222058942464,2019-07-15 16:00:13,[],PESUniversity,0,1.0,0.9609,Positive
29,"Dr. Snehanshu Saha wins PEACE Award-Distinguished Researcher of the Year Award, 2019 in Machine Learning & AstroInformatics. World Research Peace Award powered by RULA recognizes distinguished contributions in a subject area of high potential impact by... https://news.pes.edu/10201 pic.twitter.com/HYkNH2C064",PES University,1150797222058942464,2019-07-15 16:00:13,[],PESUniversity,0,1.0,0.9609,Positive
30,The PES University Spotlight Award leader-board has been updated - is your school on the list? Submit your application today - https://www.ee-scholarship.org/leaderboard pic.twitter.com/7ANCTTTdYS,IEEE PES Scholar+,1140964398623858688,2019-06-18 12:48:05,[],ieeepesscholars,0,0.0,0.5423,Positive
31,"7 Reasons to do Law from PES University, Faculty of Law, Bengaluru https://www.lawctopus.com/7-reasons-to-pursue-law-from-pes-university-faculty-of-law-bengaluru/ …",Lawctopus,1140955030046093312,2019-06-18 12:10:51,[],Lawctopus,0,0.0,0.0,Neutral
32,"#TheAdmissionMentor - Direct Admission consultant in Bangalore. Our professionals will help you to get B.E/B.Tech/ME/IT admission in RV College, M.S Ramaiah, PES University, BMS, New Horizon college Without Any Entrance Exams. 
URL: http://www.theadmissionmentor.com 
#DirectAdmission2019pic.twitter.com/L0a00vpIlH",TheAdmissionMentor,1140628808216657920,2019-06-17 14:34:34,"['TheAdmissionMentor', 'DirectAdmission2019pic']",admissionmentr,0,0.0,0.4019,Positive
